"Per cent",""
"Indicator
2018
2019 (a)
2020(a)","2021 (b)"
"Central Government Debt/GDP
84.2
86.9
100.6
Domestic Debt/GDP (c)
42.5
45.5
60.3
Foreign Debt/GDP
41.7
41.3
40.3
Domestic Debt/Central Government Debt
50.5
52.4
60.0","104.6
66.0
38.6
63.1"
"Foreign Debt/Central Government Debt
49.5
47.6
40.0
Foreign Debt/Exports (d)
181.0
178.6
250.2
Debt Service/GDP
14.6
13.5
12.9","36.9
217.8
14.1"
"Debt Service/Government Revenue
108.8
107.0
141.9","163.0"
"o/w Domestic Debt Service/
81.3
64.2
85.5
       Government Revenue
Debt Service/Government Expenditure (e) 
53.1
45.4
48.5","109.1
49.0"
"o/w Domestic Debt Service/
39.7
27.2
29.2
       Government  Expenditure (e)
Foreign Debt Service/Exports (d)
16.0
23.3
31.9
Interest Payments/GDP
6.0
6.0
6.5","32.8
26.4
6.2"
"Interest Payments/Government Expenditure (e)
21.7
20.2
24.5","21.6"
"Domestic Interest Payments/GDP
4.5
4.5
4.7","4.7"
"Foreign Interest Payments/GDP
1.5
1.6
1.8
Interest Payments/Government Recurrent","1.5"
"40.8
37.2
38.5
Expenditure
Foreign Interest Payments/Exports (d)
6.5
6.7
11.0","38.2
8.5"
"(a) For  2019  and  2020,  revised  GDP  estimates 
Sources: Ministry of Finance 
were used, as released by the Department of 
Department of Census and  
Census and Statistics on 29 March 2022.
  Statistics
(b)  Provisional
Central Bank of Sri Lanka 
(c)  Includes  Government 
Treasury 
bonds 
of  
Rs. 78,441 million issued for CPC in January 
2012 of which Rs. 21,778 million matured on 
01 January 2017 and the current outstanding 
is Rs. 56,662 million
(d)  Export of goods and services       
(e)  Government expenditure includes 
amortisation payments.",""
