"2020
2021 (a)
Major Export Products
Value
Value
Preferential Agreement
Growth 
Share   
(Ordered by size of export)
(US$ 
(US$ 
(%)
(%)
million)
million)
Garments, Rubber products, Tea, Food beverages & tobacco, Seafood, Machinery and 
Generalised System of Preferences (GSP)
3,671.8
4,312.7
17.5
80.8
mechanical appliances
Garments, Rubber products, Tea, Food beverages & tobacco, Seafood, Machinery and 
o/w EU (including GSP+) (b)
1,907.0
2,402.1
26.0
45.0
mechanical appliances
Garments, Rubber products,  Machinery and mechanical appliances, Food beverages & 
 UK
690.9
680.7
-1.5
12.8
tobacco, Seafood, Transport equipment
 USA (c)
585.7
677.8
15.7
12.7
Garments, Rubber products, Food beverages & tobacco,  Chemical products, Spices
 Russian Federation (d) 
142.2
132.9
-6.5
2.5
Tea, Rubber products, Coconut non-kernel products, Garments, Chemical products
 Australia
79.2
103.5
30.7
1.9
Garments, Rubber products, Food beverages & tobacco, Tea, Coconut kernel products
 Canada
61.0
87.9
44.0
1.6
Rubber products, Garments, Coconut kernel products, Food beverages & tobacco, Seafood
 Japan
71.0
87.6
23.4
1.6
Tea, Chemical products, Coconut non-kernel products, Food beverages & tobacco, Seafood
 Turkey
80.3
74.1
-7.7
1.4
Tea, Rubber products, Chemical products, Garments, Coconut non-kernel products
 Other GSP
54.6
66.1
21.1
1.2
Animal fodder, Food beverages & tobacco, Spices, Minor agricultural exports, Wood and 
Indo-Sri Lanka Free Trade Agreement (ISFTA)","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"358.4
525.8
46.7
9.9
Implemented in 2000
paper products
Asia-Pacific Trade Agreement (APTA)","","","","","",""
"","","","","","",""
"Implemented in 1975 (e)
Global System of Trade Preferences (GSTP)","","","","","204.7
238.6
16.6
4.5
Garments, Tea, Coconut non-kernel products, Chemical products, Rubber products
Spices, Base metals and articles, Coconut kernel / non-kernel products, Animal fodder,",""
"Implemented in 1989
Pakistan-Sri Lanka Free Trade Agreement (PSFTA)","","","","","89.5
91.8
2.5
1.7
Rubber products",""
"","","","","","Minor agricultural exports, Coconut kernel / non-kernel products, Natural rubber,",""
"Implemented in 2005
South Asian Free Trade Area (SAFTA)
Implemented in 2006
SAARC Preferential Trading Arrangement (SAPTA)","","","","","53.0
62.3
17.6
1.2
Machinery and mechanical appliances
42.2
101.6
140.6
1.9
Spices, Coconut kernel / non-kernel products, Base metals and articles, Textiles, Tea",""
"Implemented in 1995
Total Exports under Preferential Agreements
As a Share of Sri Lanka’s Total Exports 
(a) Provisional
(b) The EU-GSP provides preferential access for 66 per cent of the tariff lines on imported goods to the EU, while the 
(c)  Shows GSP eligible exports since the US-GSP expired on 31.12.2020 and it is expected to re-authorised with 
(d) Includes Russia, Belarus and Kazakhstan
(e) Earlier known as the Bangkok Agreement (1975)","","","","","0.8
1.4
83.6
0.03
Rubber products, Chemical products, Tea, Food beverages & tobacco, Textiles
4,420.4
5,334.3
20.7
100.0
44.0
42.7
Sources: Department of Commerce",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","EU-GSP+ provides zero duty access to the same tariff lines on imported goods to the EU. Excludes the UK.
retroactive basis.","","","","Sri Lanka Customs",""
"","","","","","",""
"","","","","","",""
