"Ports and Airports Development Levy (PAL)
22 February 2021 
- 
PAL on milk and cream, concentrated or containing added sugar or other sweetening 
matter  (the  products  under  HS  codes  0402.10.00,  0402.21.00,  0402.29.00) 
was reduced to 2.5 per cent from 10 per cent (Extraordinary Gazette Notification  
No. 2216/3).
09 March 2021 
- 
Importation of project related capital goods by any enterprise, which has entered into 
an agreement with the BOI, for the use in any project of such enterprise having a 
stage wise capital investment of not less than US dollars 50 million during the project 
implementation or construction period and prior to the commencement of commercial 
operations except any project approved under the Commercial Hub Regulations and 
Strategic Development Project (SDP) Act, No. 14 of 2008, was exempted from PAL 
(Extraordinary Gazette Notification No. 2218/51).
19 March 2021 
- 
Importation of furnace oil by the Ceylon Petroleum Corporation, specifically for the 
production  of  bitumen  on  the  recommendation  of  the  Secretary  to  the  Ministry  in 
charge of the subject of Petroleum, subject to the approval of the Director General of 
Customs, was exempted from PAL (Extraordinary Gazette Notification No. 2219/68).","","","","","",""
"","Date","Item","Revision","","",""
"","31.12.2021","Potatoes and B’onions","SCL 
on 
the 
importation 
of 
potatoes  was 
decreased to Rs. 20 per kg from Rs. 50 per kg, 
while  SCL  on  the  importation  of  b’onions  was 
decreased to Rs. 10 per kg from Rs. 40 per kg 
for a period of six months (Extraordinary Gazette 
Notification No. 2260/72).","","",""
"","11.01.2022","Rice and Sugar","Imposition of SCL was extended for a period of 
six  months  (Extraordinary  Gazette  Notification 
No. 2262/15).","","",""
"","","","","","",""
"","03.03.2022","Maize","SCL was decreased to Rs. 10 per kg from Rs. 25 
per  kg  for  a  period  of  six  months  (Extraordinary 
Gazette Notification No. 2269/48).","","",""
"","","","The  balance  amount  after  collecting  Rs.  1  per 
kg  from  the  applicable  SCL  of  Rs.  10  per  kg 
on  the  importation  of  maize  for  production  of 
‘Thriposha’, by Sri Lanka Thriposha Limited was 
waived off for a period of six months (Extraordinary 
Gazette Notification No. 2269/48).","","",""
"","","Grain Sorghum (other)","SCL of Rs. 10 per kg was imposed for a period 
of six months (Extraordinary Gazette Notification 
No. 2269/48).","","",""
"","","Mackerel,  Black  Gram,  Cowpeas  and 
Kurakkan","Imposition  of  SCL  was  extended  for  a  period 
of  one  year  (Extraordinary  Gazette  Notification  
No. 2269/56).","","",""
"","09.03.2022","Yoghurt,  Butter,  Dairy  Spreads,  Grated 
or  Powdered  Cheese,  Dates  (fresh  and 
dried),  Oranges  (fresh),  Grapes  (fresh 
and dried) and Apples","SCL 
was 
increased 
for 
a 
period 
of 
six 
months 
(Extraordinary  Gazette 
Notification  
No. 2270/19).","","",""
"","","","","","",""
"","","","","","",""
