"","","","","","","","","","","","","","","","","","","","","","","",""
"TABLE 1
REAL SECTOR","","","","","","","","","","","","","","","","","","","","","","",""
"Population and Labour Force","","","","","","","","","","","","","","","","","","","","","","",""
"Year
Mid Year
Crude Birth
Crude Death
Population
Rate
Rate
(%) (a)
(‘000) 
(per ‘000)
(per ‘000)
Male
Female
   Total
 Male
Female
Total
Male
Female","","","","","","","","","","","","","","","Life Expectancy","Labour Force
Literacy","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","Unemployment","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","at Birth (years)","Participation Rate (%) (b)(c)
Rate","","","","","Rate (%) (b)(c)","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"1950
7,544
39.7
12.6
-
-
-
-
-
-
-
-
-
1951
7,742
39.8
12.9
-
-
-
-
-
-
-
-
-
1952
7,940
38.8
12.0
57.6
55.5
-
-
-
-
-
-
-
1953
8,098
38.7
10.9
58.8
57.5
69.0
37.0
53.1
18.9
-
-
-
1954
8,385
35.7
10.4
-
-
-
-
-
-
-
-
-","","","","","","","","","","","","","","","","","","","","","","",""
"1955
8,589
37.3
11.0
-
-
-
-
-
-
-
-
-
1956
8,929
36.4
9.8
-
-
-
-
-
-
-
-
-
1957
9,165
36.5
10.1
-
-
-
-
-
-
-
-
-
1958
9,388
35.8
9.7
-
-
-
-
-
-
-
-
-
1959
9,625
37.0
9.1
-
-
-
-
-
-
-
-
-","","","","","","","","","","","","","","","","","","","","","","",""
"1960
9,896
36.6
8.6
-
-
-
-
-
-
-
-
-
1961
10,168
35.8
8.0
-
-
-
-
-
-
-
-
-
1962
10,443
35.5
8.5
61.9
61.4
-
-
-
-
-
-
-
1963
10,582
34.1
8.5
63.3
63.7
77.0
32.7
49.8
14.2
7.7
7.3
9.0
1964
10,903
33.2
8.8
-
-
-
-
-
-
-
-
-","","","","","","","","","","","","","","","","","","","","","","",""
"1965
11,164
33.1
8.8
-
-
-
-
-
-
-
-
-
1966
11,439
32.3
8.3
-
-
-
-
-
-
-
-
-
1967
11,703
31.9 
7.5
-
-
-
-
-
-
-
-
-
1968
11,992
32.0
7.9
-
-
-
38.6
57.3
19.5
14.3
11.2
20.1
1969
12,252
30.4
8.1
-
-
-
-
-
-
-
-
-","","","","","","","","","","","","","","","","","","","","","","",""
"1970
12,514
29.4
7.5
-
-
-
-
-
-
-
-
-
1971
12,690
30.4
7.7
64.0
66.9
78.5
35.4
50.7
19.1
18.7
14.3
31.1
1972
12,861
30.0
8.1
-
-
-
-
-
-
-
-
-
1973
13,091
28.0
7.7
-
-
80.8
34.4
48.5
20.2
18.3
13.7
26.8
1974
13,284
27.5
9.0
-
-
-
-
-
-
-
-
-","","","","","","","","","","","","","","","","","","","","","","",""
"1975
13,496
27.8
8.5
-
-
-
36.6
50.2
22.1
19.7
14.3
33.1
1976
13,717
27.8
7.8
-
-
-
-
-
-
-
-
-
1977
13,942
27.9
7.4
-
-
-
-
-
-
-
-
-
-
38.0
50.4
26.2
14.8
9.2
24.9
1978
14,190
28.5
6.6
-
-
1979
14,472
28.9
6.5
-
-
86.2
-
-
-
-
-
-","","","","","","","","","","","","","","","","","","","","","","",""
"1980
14,747
28.4
6.2
-
-
-
-
-
-
-
-
-
1981
14,847
28.2
5.9
67.7
72.1
87.2
33.8
49.4
17.1
17.9
13.0
32.9
1982
15,196
26.9
6.1
-
-
-
34.3
49.7
19.4
11.7
7.8
21.3
1983
15,417
26.3
6.2
-
-
-
-
-
-
-
-
-
1984
15,603
25.1
6.5
-
-
-
-
-
-
-
-
-","","","","","","","","","","","","","","","","","","","","","","",""
"1985
15,842
24.6
6.2
-
-
-
38.9
52.7
25.4
13.2
9.8
20.3
1986
16,127
22.4
6.0
-
-
-
-
-
-
15.5
11.3
23.6
1987
16,373
21.8
6.0
-
-
88.6
-
-
-
-
-
-
1988
16,599
20.7
5.8
-
-
-
-
-
-
-
-
-
1989
16,825
21.6
6.3
-
-
-
-
-
-
-
-
-","","","","","","","","","","","","","","","","","","","","","","",""
"1990
17,015
1991
17,267
1992
17,426
1993
17,646
1994
17,891","","","","","","20.8
6.0
-
-
-
51.9 (d)
21.7
5.8
69.5
74.2
86.6
49.8 (d)
21.5
5.9
-
-
-
48.2 (d)
20.8
5.7
-
-
-
49.1 (d)
20.8
5.9
-
-
90.1
48.7 (d)","","","","","","","","","","","67.7 (d)
65.2 (d)
64.3 (d)
65.3 (d)
65.4 (d)","36.2 (d)
15.9 (d)
31.1 (d)
14.7 (d)
31.1 (d)
14.6 (d)
33.1 (d)
13.8 (d)
32.0 (d)
13.1 (d)","","11.1 (d)
23.4 (d)
10.1 (d)
23.0 (d)
10.7 (d)
22.8 (d)
9.7 (d)
21.7 (d)
9.7 (d)
20.1 (d)","","",""
"1995
18,136
1996
18,336
1997
18,568
1998
18,784
1999
19,056","","","","","","19.9
6.0
-
-
-
47.9 (d)
19.5
7.0
70.7
75.4
-
48.6 (d)
18.8
6.4
-
-
91.8
48.7 (d)
18.2
6.2
-
-
-
51.7 (d)
18.1
6.3
-
-
-
50.7 (d)","","","","","","","","","","","64.4 (d)
65.9 (d)
65.7 (d)
67.3 (d)
67.7 (d)","31.7 (d)
31.6 (d)
32.0 (d)
36.4 (d)
34.1 (d)","12.3 (d)
11.3 (d)
10.5 (d)
9.2 (d)
8.9 (d)","9.0 (d)
18.7 (d)
8.2 (d)
17.7 (d)
7.7 (d)
16.1 (d)
6.5 (d)
14.6 (d)
6.7 (d)
13.0 (d)","","",""
"2000
19,102
2001
18,797 (e)
2002
18,921 (e)
2003
19,173 (e)
2004
19,435 (e)","","","","","","18.2
6.1
-
-
-
50.3 (d)
19.1
6.0
68.8 
77.2 
90.7
48.8 (d)
19.4
5.9
-
-
-
50.3 (d)
19.3
6.0
-
-
-
48.9 (f)
18.8
5.9
-
-
92.5
48.6 (g)","","","","","","","","","","","67.2 (d)
66.2 (d)
67.9 (d)
67.2 (f)
66.7 (g)","33.9 (d)
7.6 (d)
31.9 (d)
7.9 (d)
33.6 (d)
8.8 (d)
31.4 (f)
8.4 (f)
31.5 (g)
8.3 (g)","","5.8 (d)
11.0 (d)
6.2 (d)
11.5 (d)
6.6 (d)
12.9 (d)
6.0 (f)
13.2 (f)
6.0 (g)
12.8 (g)","","",""
"2005
19,644 (e)
2006
19,858 (e)
2007
20,039 (e)
2008
20,246 (e)
2009
20,476 (e)","","","","","","67.9
90.7
48.3 (h)(i)
18.9
6.7
75.6
18.8
5.9
-
-
91.5
51.2 (d)
19.3
5.9
70.3
77.9
91.1
49.8 (d)
18.5
6.1
-
-
91.3
49.5 (f)
18.0
6.2
-
-
91.4
48.7 (f)","","","","","","","","","","","67.1 (h)(i)
68.1 (d)
67.8 (d)
67.8 (f)
66.6 (f)","30.9 (h)(i)
7.7 (h)(i)
35.7 (d)
6.5 (d)
33.4 (d)
6.0 (d)
33.2 (f)
5.4 (f)
32.8 (f)
5.8 (f)","","5.5 (h)(i)
11.9 (h)(i)
4.7 (d)
9.7 (d)
4.3 (d)
9.0 (d)
3.7 (f)
8.4 (f)
4.3 (f)
8.6 (f)","","",""
"2010
20,675 (e)
2011
20,892 (e)","","","","","","","","","17.6
6.3
-
-
91.9
48.1 (f)
17.3
5.9
-
-
92.2 
52.9 (i)(j)","","","","","","","","67.1 (f)
74.0 (i)(j)","31.2 (f)
4.9 (f)
34.3 (i)(j)
4.2 (i)(j)","","3.5 (f)
7.7 (f)
2.7 (i)(j)
7.1 (i)(j)","","",""
"2012
20,425 (k)","","","","","","","","","17.6
6.0
72.0
78.6 
92.7 
52.5 (i)(j)","","","","","","","","74.9 (i)(j)","32.9 (i)(j)
4.0 (i)(j)","","2.8 (i)(j)
6.3 (i)(j)","","",""
"2013
20,585 (k)","","","","","","","","","17.8
6.2
-
-
92.4 
53.7 (i)(j)","","","","","","","","74.9 (i)(j)","35.4 (i)(j)
4.4 (i)(j)","","3.2 (i)(j)
6.6 (i)(j)","","",""
"2014
20,778 (k)","","","","","","","","","16.8 
6.2
-
-
93.2 
53.2 (i)(j)","","","","","","","","74.6 (i)(j)","34.6 (i)(j)
4.3 (i)(j)","","3.1 (i)(j)
6.5 (i)(j)","","",""
"2015                                                       
20,970 (k)","","","","","","","","","16.0
6.3
-
-
93.2
53.8 (i)(j)","","","","","","","","74.7 (i)(j)","35.9 (i)(j)
4.7 (i)(j)","","3.0 (i)(j)","","7.6 (i)(j)",""
"2016
21,209 (k)(l)","","","","","","","","","","15.5 (l)","","","6.2
-
-
93.1
53.8 (i)(j)","","","","75.1 (i)(j)","35.9 (i)(j)
4.4 (i)(j)","","2.9 (i)(j)","","7.0 (i)(j)",""
"2017
21,444 (k)(m)
2018
21,670 (k)(m)
2019
21,803 (k)(m)","","","","","","","","","","15.2 (m)
15.1 (m)
14.6 (m)","","","6.5 (m)
6.4 (m)
6.7 (m)","-
-
92.6
54.1 (i)
-
-
92.5
51.8 (i)
-
-
92.9
52.3 (i)","","","74.5 (i)
73.0 (i)
73.0 (i)","36.6 (i)
4.2 (i)
33.6 (i)
4.4 (i)
34.5 (i)
4.8 (i)","","2.9 (i)
6.5 (i)
3.0 (i)
7.1 (i)
3.3 (i)
7.4 (i)","","",""
"2020
21,919 (k)(m)","","","","","","","","","13.8 (m)
6.0 (m)
-
-
93.0
50.6 (i)
12.9
7.4
-
-
-
49.9 (i)(n)","","","","","","","","71.9 (i)
71.0 (i)(n)","32.0 (i)(l)
31.8 (i)(n)","5.5 (i)
5.1 (i)(n)","4.0 (i)
8.5 (i)(l)
3.7 (i)(n)
7.9 (i)(n)","","",""
"2021 (m)
22,156 (k)","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"(a)  From 2006, based on Quarterly Labour Force Survey (QLFS) of the Department of Census and Statistics (DCS). Up to 2005, data are available only in 
(n)  Average of four quarters of 2021","","","","","","","","","","","","","","","","","","","","Sources:  Registrar General’s Department","","",""
"","census years and some survey years.","","","","","","","","","","","","","","","","","","","Department of Census and Statistics","","",""
"","(b)  From 1990, based on QLFS of the DCS. Up to 1989, based on other surveys in which the definitions may differ.","","","","","","","","","","","","","","","","","","","","","",""
"","(c) Data up to 2010  are for household population aged 10 years and above and from 2011 onwards are for those aged 15 years and above.","","","","","","","","","","","","","","","","","","","","","",""
"","(d)  Data excluding both Northern and Eastern provinces","","","","","","","","","","","","","","","","","","","","","",""
"","(e) Based on Census of Population and Housing - 2001","","","","","","","","","","","","","","","","","","","","","",""
"","(f)  Data excluding the Northern province","","","","","","","","","","","","","","","","","","","","","",""
"","(g)  Data excluding both Mullaitivu and Killinochchi districts","","","","","","","","","","","","","","","","","","","","","",""
"","(h) QLFS was conducted as a one-off survey in August 2005.","","","","","","","","","","","","","","","","","","","","","",""
"","(i)  Data cover the entire island.","","","","","","","","","","","","","","","","","","","","","",""
"","(j)   In July 2016, the DCS published a re-weighted and revised labour force data series for 2011 onwards.","","","","","","","","","","","","","","","","","","","","","",""
"","(k) Based on the Census of Population and Housing - 2012","","","","","","","","","","","","","","","","","","","","","",""
"","(l)    Revised","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","(m) Provisional","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
