"Supply of Goods and Services 
(Rs. 21,063 billion)
Wholesale and
Retail Trade
Taxes less Subsidies on Products
Construction
5.4%
Electricity, Water
and Waste Treatment
0.7%
Manufacturing
14.4%
Mining and
Quarrying
1.8%
Fishing
0.8%
Agriculture and
Forestry
6.4%","","","","","","4.5%","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","9.0%
Transportation and","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","Storage 8.0%
Accommodation and","","",""
"","","","","","","","","","","","",""
"","","","","","","","Services","","Food Service Activities
0.7%
Information and
Communication","","",""
"","Government
Consumption
7.6%
Private
Consumption
56.1%
(a) Based on the GDP estimates (base year 2010)","","and Services
20.2%","","","","45.9%
Imports of Goods","","0.8%
Financial, Insurance and","Real Estate Activities 
10.0%
Professional Services and
Other Personal Service
Activities 8.7%","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","Demand for Goods and Services 
(Rs. 21,063 billion)
14.2 %
Sources:  Department of Census and Statistics","","Investment
22.1%
Exports of Goods and Services
Central Bank of Sri Lanka","Public Administration,
Defence, Education,
Human Health and
Social Work Activities
8.8%","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
