"CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2022","","","","","","","","","","",""
"","","Table 5.5","","","","","exhibited  a  considerable  increase  in  2022  due  to","","","",""
"","Volume of Major Imports","","","","","","","","","",""
"","","","","","","","the increase in average import prices, despite low","","","",""
"","","","","","MT ‘000","","","","","",""
"","","","","","","","import  volumes,  compared  to  2021.  Meanwhile,","","","",""
"Item","2018","2019","2020","2021","2022 (a)","","","","","",""
"","","","","","","","import  expenditure  on  textiles  and  textile  articles,","","","",""
"Refined Petroleum (b)","4,959","4,740","4,028","4,553","3,927","","","","","",""
"1st    Quarter","1,382","1,199","1,249","1,378","1,184","","","","","",""
"","","","","","","","the  second  largest  import  item,  broadly  remained","","","",""
"2nd  Quarter","1,207","1,206","678","1,008","935","","","","","",""
"","","","","","","","","","","",""
"3rd    Quarter","1,317","1,211","1,123","865","853","","unchanged in 2022, compared to 2021. In contrast,","","","",""
"4th    Quarter","1,054","1,124","978","1,302","954","","","","","",""
"","","","","","","","import  expenditure  on  most  other  subcategories","","","",""
"Wheat","1,297","1,159","1,404","1,307","583","","","","","",""
"1st    Quarter","412","164","272","323","208","","","","","",""
"","","","","","","","under intermediate goods declined with base metals","","","",""
"2nd  Quarter","329","318","285","288","129","","","","","",""
"","","","","","","","","","","",""
"3rd    Quarter","285","292","498","335","80","","(mainly  iron  and  steel)  and  wheat  grain  declining","","","",""
"4th    Quarter","271","385","348","360","167","","","","","",""
"Crude Oil (b)","1,674","1,842","1,667","1,182","649","","the most. As a result of the above, expenditure on","","","",""
"1st    Quarter","283","461","464","274","179","","","","","",""
"","","","","","","","non-fuel  intermediate  goods  declined  by  12.0  per","","","",""
"2nd  Quarter","459","460","265","368","80","","","","","",""
"3rd    Quarter","461","461","568","362","199","","","","","",""
"","","","","","","","cent in 2022, compared to 2021.","","","",""
"4th    Quarter","471","460","370","178","191","","","","","",""
"Sugar","645","556","683","582","460","","","","","",""
"1st    Quarter","205","140","193","293","119","","","","","",""
"","","","","","","","","","","",""
"2nd  Quarter","166","153","108","140","68","","Terms of Trade","","","",""
"3rd    Quarter","119","100","209","14","131","","","","","",""
"4th    Quarter","154","164","172","136","143","","","","","",""
"","","","","","","The","terms  of","trade,  which","is","the","ratio"
"Fertiliser","861","707","952","412","363","","","","","",""
"","","","","","","","","","","",""
"1st    Quarter","256","148","88","114","37","","of  export  prices","to","import  prices,","","further"
"2nd  Quarter","154","142","294","182","32","","","","","",""
"","","","","","","","","","","",""
"3rd    Quarter","225","238","126","17","84","","deteriorated in 2022, as the import price index","","","",""
"4th    Quarter","226","179","444","98","210","","","","","",""
"","","","","","","","increased  at  a  higher  pace  than  the  export","","","",""
"Rice","249","24","16","147","783","","","","","",""
"1st    Quarter","203","8","8","3","270","","","","","",""
"","","","","","","","price  index.  The  increases  in  the  price  indices","","","",""
"2nd  Quarter","37","3","2","4","156","","","","","",""
"3rd    Quarter","2","5","2","3","249","","","","","",""
"","","","","","","","of  all  major  categories  of  exports  contributed  to","","","",""
"4th    Quarter","7","8","4","137","108","","","","","",""
"","","Sources: Ceylon Petroleum Corporation","","","","","the increase in export prices, while higher prices","","","",""
"(a) Provisional","","","","","","","","","","",""
