"","Table 2.10","","","","",""
"","","Composition of Private Consumption Expenditure at Current Market Prices (a)","","","",""
"","","","As a Percentage of Total PCE (%)","","Growth (%)",""
"","Category","","","","",""
"","","2020 (b)","2021 (b)(c)","2022 (c)","21/20 (b)(c)","22/21 (c)"
"","1.   Food and Non-alcoholic Beverages","31.4","33.4","30.2","16.2","25.9"
"","2.   Alcoholic Beverages, Tobacco and Narcotics","1.9","1.7","1.4","0.5","10.8"
"","3.   Clothing and Footwear","7.4","4.2","5.1","-38.0","70.7"
"","4.   Housing, Water, Electricity, Gas and Other Fuels","10.3","10.2","8.1","8.6","10.8"
"","5.   Furnishings, Household Equipment and Routine Household Maintenance","1.6","1.8","1.5","26.4","18.3"
"","6.   Health","2.7","3.7","3.1","48.4","16.9"
"","7.   Transport","21.3","21.2","25.9","9.0","69.8"
"","","","","","",""
"2","8.   Communication
9.   Recreation and Culture","1.0 
 3.2","1.1 
 3.2","0.8 
 3.0","15.5
9.1","-0.3
31.1"
"","10. Education","1.7","1.6","1.5","5.6","26.6"
"","11. Restaurants and Hotels","2.8","3.4","5.1","30.6","109.0"
"","12. Miscellaneous Goods and Services","15.1","15.0","15.9","8.7","47.4"
"","13. Direct Purchases Abroad by Residents","1.0","0.5","0.7","-38.6","68.8"
"","14. Less: Direct Purchases in Domestic Market by Non-residents","1.3","1.0","2.3","-18.2","225.7"
"","Total Private Consumption Expenditure","100.0","100.0","100.0","9.4","39.0"
"","(a) Based on the GDP estimates (base year 2015)","","","","Source: Department of Census and Statistics",""
