"Period (b)","All Items","Alcoholic","Beverages and","","Electricity,","","Health","Transport","Communication","","Education","","Goods and"
"","","","","Footwear","","Routine","","","","and Culture","","and Hotels",""
"","","Beverages","Tobacco","","Gas and","","","","","","","","Services"
"","","","","","","Household","","","","","","",""
"","","","","","Other Fuels","","","","","","","",""
"","","","","","","Maintenance","","","","","","",""
"Base Weights","100.0","28.2","1.0","2.3","32.0","2.5","4.4","10.6","3.3","1.3","5.9","5.1","3.3"
"2019","129.5","132.8","215.9","145.5","115.5","135.2","175.9","112.4","108.9","117.0","162.6","135.0","144.6"
"2020","135.4","147.9","223.5","153.2","117.8","134.3","173.9","117.2","97.3","117.5","168.9","138.5","148.0"
"2021","143.4","165.2","231.2","163.4","119.3","142.4","183.5","125.1","97.3","118.2","169.8","151.4","153.0"
"2022","209.9","272.2","295.1","239.4","139.9","203.4","228.7","252.3","109.3","161.4","202.0","251.2","223.0"
"2020
1st   Quarter","134.2","144.8","220.8","150.5","117.8","135.3","174.1","115.7","97.3","118.0","169.0","137.5","146.8"
"2nd  Quarter","134.4","144.7","221.2","151.6","117.8","134.7","175.2","116.5","97.3","117.8","169.0","137.8","147.5"
"3rd  Quarter","135.7","149.1","223.0","154.6","117.7","133.4","174.1","117.2","97.3","116.5","168.9","139.0","148.3"
"4th   Quarter","137.2","153.1","229.0","156.3","117.7","133.8","172.1","119.2","97.3","117.5","168.8","139.6","149.4"
"2021
1st   Quarter","138.9","156.5","228.7","158.2","118.0","137.6","175.8","121.6","97.3","117.5","168.8","141.5","150.4"
"2nd  Quarter","140.5","159.3","229.3","160.9","118.5","139.3","180.4","122.5","97.3","117.5","168.8","145.4","151.0"
"3rd  Quarter","143.6","165.2","229.5","164.5","118.6","142.9","186.5","127.4","97.3","118.2","169.8","150.8","152.3"
"4th   Quarter","150.8","179.9","237.1","170.0","122.1","149.8","191.2","128.9","97.3","119.6","171.8","167.7","158.2"
"2022
1st   Quarter","161.1","198.6","253.5","183.4","124.5","156.6","194.4","148.8","97.3","127.6","175.5","182.9","168.2"
"2nd  Quarter","198.5","257.6","276.6","218.0","133.0","184.6","219.9","240.2","98.6","151.4","198.7","230.3","206.7"
"3rd  Quarter","236.9","319.1","314.1","256.3","146.2","227.6","238.0","315.3","109.7","172.9","212.8","287.6","244.7"
"4th   Quarter","243.2","313.4","336.1","299.9","155.8","244.8","262.6","304.7","131.5","193.8","221.2","304.1","272.4"
"2021
January","138.7","156.5","228.4","157.0","117.9","136.8","175.8","121.3","97.3","117.5","168.8","139.6","150.2"
"February","139.1","157.7","228.6","157.8","118.0","137.3","175.8","121.7","97.3","117.5","168.8","139.6","150.2"
"March","138.9","155.2","229.1","159.8","118.1","138.7","175.9","121.9","97.3","117.5","168.8","145.4","150.7"
"April","138.8","155.0","229.6","159.8","118.1","138.9","175.9","122.0","97.3","117.5","168.8","145.4","150.7"
"May","140.3","158.4","229.0","161.4","118.7","139.5","181.7","122.0","97.3","117.5","168.8","145.4","150.7"
"June","142.4","164.6","229.3","161.4","118.7","139.6","183.7","123.6","97.3","117.5","168.8","145.4","151.5"
"July","143.1","164.3","228.8","163.3","118.7","140.9","183.7","127.4","97.3","118.1","168.8","150.8","151.9"
"August","143.5","165.4","230.0","165.1","118.4","143.2","185.3","127.4","97.3","118.3","168.8","150.8","152.0"
"September","144.1","165.9","229.8","165.1","118.6","144.5","190.4","127.4","97.3","118.3","171.8","150.8","153.1"
"October","146.9","170.6","229.8","167.3","120.8","147.1","190.6","127.6","97.3","119.0","171.8","162.2","154.7"
"November","150.7","179.7","234.8","169.2","122.7","149.4","190.9","128.9","97.3","119.0","171.8","163.9","159.8"
"December","154.7","189.4","246.7","173.4","122.9","153.0","192.2","130.2","97.3","120.9","171.8","177.0","160.0"
"2022
January","158.4","195.7","249.1","175.6","124.2","154.3","192.2","138.5","97.3","122.1","175.5","181.3","164.1"
"February","160.1","198.2","251.1","181.6","124.5","156.3","192.2","142.7","97.3","127.8","175.5","182.0","166.6"
"March","164.9","202.0","260.4","192.9","124.9","159.2","198.9","165.2","97.3","132.8","175.5","185.3","174.0"
"April","180.2","227.2","263.5","199.9","127.7","164.1","210.8","205.2","97.3","138.8","193.4","200.1","182.4"
"May","195.2","249.3","271.8","221.1","134.3","186.7","220.4","233.6","97.3","153.5","193.4","218.5","211.8"
"June","220.2","296.4","294.5","233.0","137.1","202.9","228.5","281.8","101.3","162.0","209.3","272.2","226.0"
"July","230.1","313.6","310.3","237.2","138.7","218.6","230.8","310.3","104.4","168.2","209.3","283.2","227.5"
"August","235.8","320.3","311.8","257.6","144.2","224.6","234.2","316.7","104.4","170.3","209.3","283.2","242.0"
"September","244.7","323.3","320.3","274.0","155.6","239.6","248.9","319.0","120.2","180.3","219.7","296.4","264.5"
"October","243.8","316.7","335.2","287.2","156.2","243.5","252.3","311.6","130.0","187.6","219.7","301.7","270.1"
"November","242.6","312.1","337.5","300.4","155.4","244.4","266.8","300.4","132.2","193.7","221.9","305.3","272.2"
"December","243.2","311.3","335.7","312.0","155.7","246.5","268.6","302.2","132.2","200.1","221.9","305.3","275.0"
"","(a) The Index was based on the Household Income and Expenditure Survey conducted in 2012/13. The weights are based on","","","","","","","","","","","Source: Department of Census and Statistics",""
