"2020","8.50","2.00","4.50","5.50","4.69","4.80","5.05","4.55","0.10-7.00","0.25-15.00","3.95-28.00"
"2021","9.00","4.00","5.00","6.00","8.16","8.33","8.24","5.95","0.05-6.35","0.15-15.00","4.00-28.00"
"2022","30.22","4.00","14.50","15.50","32.64","32.20","29.27","15.50","0.25-6.00","4.50-30.00","5.66-42.48"
"(a)   The rate at which the Central Bank grants advances to banking institutions as the lender of last resort.","","","","","","","","","","",""
"","(b)   The Statutory Reserve Ratio (SRR) is the proportion of rupee deposit liabilities that commercial banks are required to maintain as a deposit with the Central Bank, subject to an","","","","","","","","","",""
"","allowance for till cash balances. Prior to 2001, the SRR applicable on rupee demand deposits is reported since different SRRs were applicable on different types of deposits,","","","","","","","","","",""
"","including foreign currency deposits.","","","","","","","","","",""
"","(c)   Renamed w.e.f. 02 January 2014 as the Standing Deposit Facility Rate (SDFR). Previously named as the Repo Rate.","","","","","","","","","",""
"","(d)  Renamed w.e.f. 02 January 2014 as the Standing Lending Facility Rate (SLFR). Previously named as the Reverse Repo Rate.","","","","","","","","","",""
"","(e)   The Legal Rate is defined under the Civil Procedure Code (Amendment) Act No. 6 of 1990 and is applicable to any legal action for the recovery of a sum of money. The Market","","","","","","","","","",""
"","Rate is defined under the Debt Recovery (Special Provisions) Act No. 2 of 1990 and is applicable only in relation to legal actions instituted by lending institutions for the recovery","","","","","","","","","",""
"","of debt exceeding Rs. 150,000 arising out of commercial transactions, where there is no agreed rate of interest. The Monetary Board of the Central Bank determines the Legal","","","","","","","","","",""
"","Rate and Market Rate for each year and publishes in the Government Gazette in the month of December to be applicable for the forthcoming year. The Legal Rate and the","","","","","","","","","",""
"","Market Rate for the year 2023 is 16.97 per cent per annum.","","","","","","","","","",""
