"","","","Volume (kg ‘000)","","","","","Value (US$ million)","",""
"Country","","","","","","","","","",""
"","2018","2019","2020","2021","2022 (a)","2018","2019","2020","2021","2022 (a)"
"Middle East Countries","134,186","137,509","121,528","134,568","114,789","625","566","526","572","531"
"Iran","23,914","22,264","15,127","15,834","13,060","129","101","75","71","70"
"Iraq","38,436","38,408","33,377","42,455","43,246","138","112","104","137","146"
"Israel","1,793","1,988","2,117","1,786","1,968","10","10","11","9","11"
"Jordan","4,719","5,168","4,680","5,224","3,931","27","26","25","28","22"
"Kuwait","2,261","2,260","1,852","1,442","1,432","14","14","12","9","9"
"Saudi Arabia","5,591","6,848","6,804","6,533","6,271","36","42","47","45","44"
"Syria","10,180","10,986","9,537","7,779","6,154","56","55","45","37","33"
"Turkey","35,634","39,087","38,866","29,742","15,595","163","161","167","128","72"
"United Arab Emirates","11,078","9,901","8,670","23,149","22,578","48","40","38","104","119"
"Other","580","599","497","625","556","4","4","3","4","4"
"CIS Countries","47,547","47,915","47,220","45,047","41,697","244","226","222","198","219"
"Azerbaijan","10,551","11,721","10,303","10,591","12,092","52","53","51","47","65"
"Russia","30,581","29,068","29,608","27,357","24,733","154","134","132","115","125"
"Ukraine","3,675","4,134","4,557","4,281","2,417","21","23","24","21","13"
"Other","2,740","2,992","2,752","2,819","2,455","16","17","15","15","16"
"European Union (b)","23,995","24,337","23,007","23,429","22,691","152","151","142","144","148"
"Belgium","3,510","2,212","2,238","3,533","2,897","15","9","9","14","14"
"France","852","768","632","805","696","6","5","5","6","5"
"Germany","6,043","7,424","6,431","6,403","6,573","31","35","32","33","38"
"Ireland, Republic of","2,166","2,263","2,223","2,426","2,658","17","19","18","21","22"
"Italy","1,404","1,003","1,127","1,031","1,310","6","4","4","5","6"
"Netherlands","3,145","3,342","2,896","2,563","2,140","24","25","22","21","18"
"Poland","2,409","2,604","2,978","3,349","3,378","17","19","20","23","23"
"United Kingdom (b)","1,294","1,280","1,216","","","13","13","10","",""
"Other","3,173","3,440","3,266","3,319","3,039","22","22","21","21","23"
"Other Countries","76,636","82,896","73,813","82,971","71,015","408","404","351","410","361"
"Australia","2,300","2,994","1,796","2,253","2,152","23","28","16","22","20"
"Canada","572","639","637","716","548","4","4","4","5","5"
"Chile","7,540","7,231","9,419","8,835","6,514","31","26","36","36","28"
"China","10,020","11,870","14,123","14,117","11,129","47","50","57","60","48"
"Egypt","2,025","2,172","2,477","2,425","1,971","10","9","11","11","9"
"Hong Kong","4,873","4,847","3,763","4,503","3,817","24","20","15","19","16"
"Japan","7,416","7,538","5,612","6,595","5,905","43","41","30","37","36"
"Lebanon","3,573","2,825","2,574","2,832","1,333","21","16","14","14","8"
"Libya","13,686","12,329","7,806","12,340","11,201","56","46","29","46","41"
"New Zealand","879","956","1,015","1,117","866","8","8","9","10","7"
"South Africa","1,724","1,573","1,706","1,313","1,497","8","6","7","5","6"
"United Kingdom (b)","","","","1,117","1,115","","","","9","10"
"United States of America","5,561","7,114","5,707","5,975","6,453","36","40","32","36","41"
"Other","16,465","20,806","17,177","18,832","16,514","97","111","90","101","86"
"Total","282,364","292,657","265,570","286,016","250,192","1,428","1,346","1,241","1,324","1,259"
