"Item","2018","2019","2020","2021","2022 (a)"
"1. Tourist Arrivals (No.)","2,333,796","1,913,702","507,704","194,495","719,978"
"1.1 Arrivals by Region","","","","",""
"Northern/Western/Southern Europe","840,956","690,716","180,830","55,367","273,164"
"France","106,449","87,623","24,838","6,549","35,482"
"Germany","156,888","134,899","34,507","12,442","55,542"
"Italy","38,379","36,147","8,603","1,309","7,449"
"Netherlands","57,160","38,993","8,656","2,422","11,987"
"United Kingdom","254,176","198,776","55,455","16,646","85,187"
"Other","227,904","194,278","48,771","15,999","77,517"
"Central/Eastern Europe","176,905","196,856","100,766","38,129","159,062"
"Russia","64,497","86,549","49,397","16,894","91,272"
"Ukraine","36,515","35,051","17,169","7,037","14,917"
"Other","75,893","75,256","34,200","14,198","52,873"
"North America","129,492","119,681","29,627","11,281","49,409"
"Canada","52,681","48,729","12,436","5,079","26,845"
"United States of America","75,308","68,832","16,842","6,124","22,230"
"Mexico","1,503","2,120","349","78","334"
"East Asia","423,571","286,381","52,247","6,861","22,156"
"China","265,965","167,863","26,147","2,417","4,715"
"Indonesia","5,365","4,919","1,114","1,856","885"
"Japan","49,450","30,079","6,644","392","3,087"
"Malaysia","22,808","16,861","3,494","323","2,779"
"Other","79,983","66,659","14,848","1,873","10,690"
"South Asia","543,160","447,675","106,201","72,298","157,505"
"India","424,887","355,002","89,357","56,268","123,004"
"Maldives","76,108","60,278","9,407","6,272","18,880"
"Pakistan","19,116","14,655","3,065","7,520","6,260"
"Other","23,049","17,740","4,372","2,238","9,361"
"Australasia","125,069","105,414","22,706","4,767","33,876"
"Australia","110,928","92,674","20,283","4,421","30,924"
"New Zealand","13,825","12,463","2,324","325","2,866"
"Other","316","277","99","21","86"
"Other Regions","94,643","66,979","15,327","5,792","24,806"
"1.2 Arrivals by Purpose of Visit","","","","",""
"Pleasure","1,979,819","1,592,212","444,328","157,766","428,838"
"Business","71,255","70,068","13,946","3,956","30,057"
"Other","282,722","251,422","49,430","32,773","261,083"
"2
. Excursionist (Spent less than 24 hours in the country)","","","","",""
"","186,862","113,449","32,215","600","38,811"
"Arrivals  (No.)","","","","",""
"3. Accommodation","","","","",""
"3.1 Number of Establishments","3,945","4,336","4,815","5,470","6,142"
"Hotels and Restaurants","1,887","2,062","2,147","2,204","2,488"
"Travel and Transport Agencies (b)","903","994","1,016","1,118","1,213"
"Recreational Agencies","107","144","152","167","172"
"Tourist Shops","78","87","90","92","105"
"Other","970","1,059","1,410","1,889","2,164"
"3.2 Capacity in Graded Establishments (c)","","","","",""
"No. of  Units","457","474","484","480","469"
"No. of  Rooms","24,757","24,831","25,407","25,958","25,597"
"No. of  Beds (d)","50,108","52,393","53,269","54,512","53,754"
"Annual Occupancy Rate (%)","72.8","57.1","15.0","18.6(e)","30.4"
"3.3 Capacity in Supplementary Establishments","","","","",""
"No. of  Units","1,855","2,055","2,535","3,177","3,360"
"No. of  Rooms","13,457","15,534","17,343","21,379","22,523"
"No. of  Beds (d)","27,236","29,144","32,137","42,758","45,046"
"4. Employment (No.) (d)","","","","",""
"4.1 Direct Employment","169,003","173,592","175,990","177,476","190,521"
"Managerial","25,197","25,681","26,001","26,221","26,863"
"Technical, Clerical, Supervisory","88,565","89,371","90,753","91,519","101,167"
"Manual and Operative","55,241","58,540","59,236","59,736","62,491"
"4.2 Indirect Employment","219,484","229,015","171,761","180,451(f)","195,715"
"(a) Provisional","","","","Source:  Sri Lanka Tourism Development Authority",""
