"","","Table 1.1","","","",""
"","","Macroeconomic Performance (2018-2022)","","","",""
"Indicator","Unit","2018","2019","2020","2021 (a)","2022 (b)"
"Real Sector (c)","","","","","",""
"Real GDP Growth","%","2.3","-0.2","-4.6","3.5 (b)","-7.8"
"GDP at Current Market Price","Rs. bn","15,352","15,911","15,672","17,600 (b)","24,148"
"Per Capita GDP (d)","US$","4,372","4,082","3,858","3,997 (b)","3,474"
"External Sector","","","","","",""
"Trade Balance (c)(d)","% of GDP","-10.9","-9.0","-7.1","-9.2","-6.7"
"Current Account Balance (c)(d)","% of GDP","-3.0","-2.1","-1.4","-3.7","-1.9"
"Overall Balance","US$ mn","-1,102.9","376.6","-2,327.7","-3,966.6","-2,806.1"
"External Official Reserves","US$ mn","6,919.2","7,642.4","5,664.3","3,139.2","1,897.6"
"Fiscal Sector (c)","","","","","",""
"Current Account Balance","% of GDP","-1.1","-3.4 (e)","-7.5","-7.3","-6.4"
"Primary Balance","% of GDP","0.6","-3.4 (e)","-4.4","-5.7","-3.7"
"Overall Fiscal Balance","% of GDP","-5.0","-9.0 (e)","-10.6","-11.7","-10.2"
"Central Government Debt (f)","% of GDP","78.4","81.9","96.5","100.1","113.8 (g)"
"Monetary Sector and Inflation","","","","","",""
"Broad Money Growth (M2b) (h)","%","13.0","7.0","23.4","13.2","15.4"
"Private Sector Credit Growth (in M2b) (h)","%","15.9","4.2","6.5","13.1","6.2"
"Annual Average Inflation (i)","%","4.3","4.3","4.6","6.0","46.4"
"(a) Revised","","","","","Sources: Department of Census and Statistics",""
