"","Category","2018","2019","2020","2021 (a) 2022 (b)",""
"1.  Capital Adequacy (%)","","","","","",""
"1.1","""Capital Adequacy Ratio (CAR) (Regulatory Capital to Risk Weitghed  Assets)""","16.2","17.2","17.1","17.7","15.1"
"1.2","""Core Capital Ratio (Tier 1) (Core Capital to Risk Weighted Assets)""","13.0","13.7","13.6","14.3","12.2"
"1.3","Core Capital to Total Assets","7.9","8.3","7.5","6.8","6.1"
"1.4","Stage 3 Loans Including Undrawn Amounts (net of Stage 3 Impairment) to Total Capital Funds","","","38.9","31.5","43.6"
"1.5","Borrowings to Capital Funds","167.0","147.5","137.9","154.6","118.4"
"1.6","Capital to Assets Ratio","9.1","9.5","9.0","9.0","8.5"
"1.7","Leverage Ratio","","6.9","6.4","6.1","5.8"
"2.  Assets Quality (%)","","","","","",""
"2.1","Stage 3 Loans to Total Loans Ratio (Including Undrawn Amounts and Net of Stage 3 Impairment)","","","5.1","7.5","11.5"
"2.2","Stage 3 Loans to Total Loans Ratio (Excluding Undrawn Amounts)","","","","","11.5"
"2.3","Total Impairment on Loans Made against Loans and Receivables (excluding undrawn amounts)","","","5.0","5.5","8.4"
"2.4","Stage 3 Impairment Coverage (Including Undrawn Amounts)","","","42.7","48.6","46.2"
"2.5","Total Impairment Coverage (Including Undrawn Amounts)","","","4.7","5.1","8.2"
"2.6","Total Impairment on Loans Made against Total Assets","","","3.3","3.6","5.0"
"2.7","Total Loans and Receivables to Total Assets","67.3","67.3","66.1","66.4","59.9"
"2.8","Total Investments to Total Assets","20.5","21.7","26.2","26.9","28.5"
"2.9","Total Income to Total Assets","10.5","10.6","8.7","7.9","12.3"
"2.10 Net Interest Income to Total Assets","","3.4","3.5","2.9","3.2","4.0"
"2.11 Non Interest Income to Total Assets","","1.4","1.2","1.1","1.0","1.6"
"3.  Earnings and Profitability (%)","","","","","",""
"3.1","Return on Equity (ROE) - After Tax","13.7","10.6","11.1","12.6","10.9"
"3.2","Return on Assets (ROA) - Before Tax","1.9","1.5","1.4","1.4","1.1"
"3.3","Return on Assets (ROA) - After Tax","1.2","1.0","1.0","1.1","0.9"
"3.4","Interest Income to Total Income","87.0","89.1","87.9","87.3","87.0"
"3.5","Net Interest Income to Total Income","32.3","32.5","33.0","40.5","33.0"
"3.6","Non Interest Income to Total Income","13.0","10.9","12.1","12.7","13.0"
"3.7","Non Interest Expenses (Operating Expenses) to Total Income","20.4","20.0","19.7","19.8","13.5"
"3.8","Personal Expenses to Non Interest Expenses","45.9","45.8","48.8","52.8","51.3"
"3.9","Personal Expenses to Total Income","9.4","9.2","9.6","10.5","6.9"
"3.10 Impairment to Total Income","","","","8.4","13.0","21.1"
"3.11 Efficiency Ratio","","48.5","51.8","51.7","37.2","29.3"
"","3.12 Interest Margin (Net interest income to Average Assets)","3.7","3.6","3.1","3.4","4.2"
"4.  Liquidity (%)","","","","","",""
"4.1","Total Liquid Assets to Total Assets","24.5","27.1","31.8","27.7","26.8"
"4.2","Statutory Liquid Assets Ratio - Domestic Banking Unit (DBU)","25.0","27.8","34.4","30.9","28.8"
"4.3","Statutory Liquid Assets Ratio - Off-shore Banking Unit (OBU)","45.4","47.1","43.2","34.0","44.3"
"4.4","Rupee Liquidity Coverage Ratio","161.8","196.8","244.1","213.1","248.5"
"4.5","All Currency Liquidity Coverage Ratio","130.5","159.0","184.9","159.9","190.5"
"4.6","Liquid Assets to Deposits","34.2","37.6","42.6","36.8","34.5"
"4.7","Current & Savings Deposits to Total Deposits","33.1","32.8","36.3","40.3","32.9"
"4.8","Liquid Assets to Short Term Outflows","","","","","36.6"
"4.9","Deposit to Total Loans & Receivables","106.1","107.1","115.7","114.2","130.0"
"4.10 Net Stable Funding Ratio","","","127.3","133.8","133.2","137.7"
"5.  Assets / Funding Structure","","","","","",""
"5.1","Deposits (% of Total Assets)","71.4","72.0","74.7","75.2","77.9"
"5.2","Borrowings (% of Total Assets)","15.1","14.0","12.4","13.9","10.1"
"5.3","Capital Funds (% of Total Assets)","9.1","9.5","9.0","8.3","8.5"
"5.4","Other (% of Total Assets)","4.4","4.4","3.9","2.6","3.5"
"5.5","Credit to Deposits","94.2","93.4","86.5","88.3","76.9"
"5.6","Credit to Deposits and Borrowings","77.7","78.1","74.2","74.5","68.1"
"5.7","Credit to Deposits, Borrowings and Capital","70.4","70.4","67.3","68.2","62.0"
"6.  Financial Infrastructure","","","","","",""
"6.1","No. of Branches (excluding Student Savings Units)","2,878","2,908","2,912","2,917","2,924"
"6.2","No. of ATMs","4,838","5,387","5,738","5,972","6,204"
"(a) Revised","","","","Source: Central Bank of Sri Lanka","",""
