"","","","Western Province","","Central Province","","North Central Province","","North Western Province","","Sabaragamuwa Province"
"","Sector","","","","","","","","","",""
"","","2021","2022 (b)","2021","2022 (b)","2021","2022 (b)","2021","2022 (b)","2021","2022 (b)"
"1. Agriculture Sector","","","","","","","","","","",""
"Tea","","","","","","","","","","",""
"","Male","1,563","2,016","1,252","1,553","-","-","-","-","1,270","1,647"
"","Female","1,150","1,350","858","1,075","-","-","-","-","997","1,328"
"Rubber","","","","","","","","","","",""
"","Male","1,461","1,969","1,467","1,932","-","-","-","-","1,318","1,753"
"","Female","1,304","1,483","944","1,481","-","-","-","-","1,068","1,375"
"Coconut (c)","","","","","","","","","","",""
"","Male","1,598","2,080","1,624","2,142","1,700","2,207","1,676","2,257","1,613","2,063"
"Paddy","","","","","","","","","","",""
"","Male","1,712","2,242","1,540","1,965","1,770","2,403","1,450","1,787","1,368","1,774"
"","Female","1,424","1,800","928","1,327","1,258","1,687","1,088","1,418","1,043","1,408"
"2. Construction Sector (c)","","","","","","","","","","",""
"Carpentry","","","","","","","","","","",""
"","Master Carpenter - Male","2,766","3,296","2,461","2,846","2,507","3,349","2,474","2,897","2,329","2,808"
"","Skilled and Unskilled Helper - Male","1,833","2,268","1,541","1,918","1,562","2,021","1,605","1,993","1,459","1,885"
"Masonry","","","","","","","","","","",""
"","Master Mason - Male","2,784","3,392","2,464","2,868","2,483","3,448","2,497","2,896","2,277","2,917"
"","Skilled and Unskilled Helper - Male","1,819","2,295","1,551","1,897","1,631","2,021","1,623","1,992","1,495","1,902"
