"","","","","","","","Investments","","","","Loans and Advances","",""
"","","","","","Foreign","","","","","","","",""
"","","","","Cash","Currency","","","","","","","","Total 
Fixed"
"","","Due","Due","","","Sri Lanka Govt. Obligations","","","","","","",""
"","","","","","on Hand","","","","","Bills Purchased and","","",""
"","Cash","","","Items in","","","","","","","","","Assets
and"
"End of Period","","from","from","","and","","","","","","","",""
"","","","","","","","","","","Discounted","","",""
"","in","","","Process","","","","","","","","","or
Other"
"","","","","","Balances","","","Other","","","","",""
"","","Central","Domestic","","","","Other","","","","","",""
"","","","","","","","","","","","Overdrafts","Loans","Total
Liabilities"
"","Hand","","","of","","Treasury
Treasury","","","","","","","Assets"
"","","","","","due","","","Investments","","","","",""
"","","Bank","Banks","","","","Govt.","","","","","",""
"","","","","Collection","from Banks","Bills 
Bonds","","","","","","","(b)"
"","","","","","","","","","Local","Import","Export","",""
"","","","","","","","Securities","","","","","",""
"","","","","","Abroad","","","","","","","",""
"2018","167,876","336,267","78,638","28,255","772,110","447,299 
632,670","375,839","110,740","2,700","12,642","18,243  1,037,776","4,684,393","5,755,754 
340,216 
9,045,664"
"2019","183,759","280,549","87,748","31,687","497,961","621,407 
755,025","447,132","98,214","2,022","8,152","16,710 
996,307","4,991,760","6,014,952 
722,664 
9,741,099"
"2020","193,798","290,369","83,792","30,663","702,852","777,239  1,429,346","581,088","91,247","4,103","4,533","18,782  1,077,666","5,660,472","6,765,556 
779,487  11,725,438"
"2021","220,649","398,543","123,414","35,538","663,891","577,516  1,584,962","499,580","117,094","4,378","5,750","19,573  1,543,965","6,634,345","8,208,011 
898,233  13,327,430"
"2022","284,525","630,941","139,330","32,728","1,131,213","624,935  2,461,325","639,321","119,805","2,003","6,734","25,516 
921,837","7,441,119","8,397,208  1,423,015  15,884,345"
"2021 January","198,822","224,700","97,201","29,658","702,113","782,704  1,477,929","586,655","98,572","5,176","4,997","17,986  1,229,362","5,659,608","6,917,129 
801,834  11,917,317"
"February","193,725","277,145","98,494","31,887","725,318","704,001  1,503,492","598,540","104,665","5,104","5,427","19,208  1,249,363","5,719,281","6,998,384 
831,162  12,066,815"
"March","227,777","244,861","110,135","29,928","729,816","687,137  1,468,301","617,321","99,507","4,757","5,237","17,122  1,346,683","5,826,397","7,200,195 
826,243  12,241,222"
"April","226,904","249,188","73,559","29,824","734,710","706,119  1,554,768","609,676","119,984","4,531","6,111","14,932  1,294,712","5,873,370","7,193,657 
837,433  12,335,822"
"May","228,304","203,602","96,587","29,737","747,470","727,736  1,520,032","613,944","116,015","4,606","5,827","15,033  1,375,938","5,914,522","7,315,927 
848,409  12,447,763"
"June","238,214","239,904","122,510","29,918","794,484","688,258  1,516,693","585,271","110,247","4,087","6,043","14,215  1,435,681","6,003,970","7,463,995 
862,409  12,651,904"
"July","219,879","216,088","112,891","30,846","866,918","663,444  1,573,438","533,367","110,204","3,410","7,843","14,587  1,539,347","6,043,460","7,608,647 
885,281  12,821,004"
"August","216,956","217,728","110,603","30,917","980,365","640,092  1,513,731","578,459","114,583","3,960","9,479","17,676  1,618,549","6,121,470","7,771,133 
881,431  13,056,000"
"September","234,369","399,493","105,109","30,884","898,419","530,477  1,497,351","534,094","121,869","3,536","8,394","18,416  1,587,821","6,174,255","7,792,421 
878,429  13,022,916"
"October","233,340","375,675","167,644","31,614","743,705","539,704  1,550,459","535,983","122,313","3,243","9,013","17,605  1,586,414","6,369,956","7,986,230 
887,322  13,173,990"
"November","234,388","433,161","123,922","33,680","710,962","543,072  1,593,588","511,269","120,175","3,670","8,255","18,543  1,503,236","6,474,798","8,008,503 
907,369  13,220,088"
"December","220,649","398,543","123,414","35,538","663,891","577,516  1,584,962","499,580","117,094","4,378","5,750","19,573  1,543,965","6,634,345","8,208,011 
898,233  13,327,430"
"2022 January","254,672","385,336","120,495","34,682","684,233","597,852  1,734,346","478,226","124,534","5,356","7,273","19,587  1,361,604","6,705,153","8,098,973 
988,624  13,501,974"
"February","247,237","344,318","121,853","35,796","631,021","621,842  1,829,404","478,111","122,245","5,526","7,670","21,739  1,326,936","6,736,121","8,097,991  1,044,710  13,574,528"
"March","281,791","379,997","116,064","35,666","1,015,411","657,732  1,885,659","619,814","116,159","7,728","11,242","29,869  1,196,860","7,206,699","8,452,398  1,187,867  14,748,558"
"April","295,938","468,827","81,844","35,826","1,267,848","514,709  1,829,102","723,171","113,309","7,475","15,479","33,116  1,053,061","7,454,903","8,564,033  1,308,654  15,203,262"
"May","337,012","429,103","62,254","35,722","1,333,243","402,990  1,897,898","731,714","116,618","7,102","16,237","34,208  1,047,002","7,503,535","8,608,085  1,272,842  15,227,482"
"June","317,305","535,680","67,810","33,944","1,316,205","373,430  1,933,404","738,346","115,568","5,845","18,231","35,917  1,052,805","7,506,655","8,619,453  1,243,417  15,294,562"
"July","302,658","583,752","64,631","32,858","1,264,692","389,275  2,011,041","689,736","116,602","5,258","19,882","31,627 
954,042","7,566,819","8,577,628  1,312,220  15,345,093"
"August","318,756","613,349","60,448","32,585","1,194,627","469,669  2,067,822","721,815","119,786","4,051","11,024","30,816 
917,126","7,488,824","8,451,840  1,285,518  15,336,215"
"September","301,795","635,753","78,420","32,049","1,309,285","498,188  2,219,910","645,311","120,651","1,941","8,433","32,312 
918,942","7,452,914","8,414,542  1,342,387  15,598,293"
"October","335,211","625,382","71,708","32,545","1,228,168","493,701  2,296,150","638,626","119,292","2,098","7,420","28,880 
928,563","7,554,601","8,521,562  1,373,774  15,736,121"
"November","292,025","618,449","122,758","30,670","1,169,463","575,608  2,374,785","665,093","119,919","2,213","7,013","29,417 
917,188","7,514,425","8,470,256  1,401,857  15,840,884"
"December","284,525","630,941","139,330","32,728","1,131,213","624,935  2,461,325","639,321","119,805","2,003","6,734","25,516 
921,837","7,441,119","8,397,208  1,423,015  15,884,345"
"","(a)  The number of reporting banks was 26 from October 2018 and 24 from October 2020","","","","","","","","","","","","(Contd.)"
