"","","","","","Rs. million"
"Item","2018","2019","2020 (b)","2021 (b)(c)","2022 (c)"
"1.  Gross Domestic Product","15,351,933","15,910,976","15,671,535","17,600,191","24,147,726"
"Plus: Primary Income from Rest of the World (d)","40,204","44,989","36,766","22,965","84,209"
"Less: Primary Income to Rest of the World (d)","429,805","486,383","459,829","418,504","705,561"
"2.  Gross National Income","14,962,333","15,469,582","15,248,473","17,204,651","23,526,373"
"Plus: Current Transfers from Rest of the World (d)","1,139,324","1,202,334","1,319,377","1,088,388","1,253,746"
"Less: Current Transfers to Rest of the World (d)","139,821","171,644","168,589","53,694","94,272"
"3.  Gross National Disposable Income","15,961,836","16,500,272","16,399,261","18,239,346","24,685,847"
"Less: Final Consumption","10,571,361","11,403,356","11,469,129","12,434,283","16,700,557"
"4.  National Savings","5,390,476","5,096,916","4,930,132","5,805,063","7,985,291"
"Plus: Deficit to Nation on Current Account (d)","451,975","330,114","238,248","661,894","319,337"
"5.  Gross Domestic Capital Formation","5,842,451","5,427,029","5,168,381","6,466,957","8,304,627"
"(a) Based on the GDP estimates under the new base year 2015 (replacing base year 2010). Data from 2015","","","","Sources: Department of Census and Statistics",""
