"","","","","","Population By District","","","","","",""
"","","","","","","","","","","","‘000 Persons"
"District","1981 (a)","2001 (b)","2012 (c)","2015 (c)","2016 (c)","2017 (c)(d)","2018 (c)(d)","2019 (c)(d)","2020 (c)(d)","2021 (c)(d)","2022 (c)(d)"
"Colombo","1,699","2,251","2,330","2,367","2,387","2,419","2,439","2,448","2,455","2,480","2,478"
"Gampaha","1,391","2,064","2,310","2,355","2,373","2,391","2,409","2,417","2,423","2,443","2,439"
"Kalutara","830","1,066","1,225","1,252","1,263","1,271","1,281","1,284","1,287","1,296","1,292"
"Galle","815","991","1,066","1,092","1,104","1,113","1,124","1,130","1,135","1,147","1,147"
"Matara","644","761","817","840","848","851","858","863","866","873","874"
"Hambantota","424","526","602","625","634","647","655","661","668","676","681"
"Badulla","641","780","818","846","857","864","873","880","886","895","899"
"Moneragala","274","398","453","475","483","485","491","496","501","505","509"
"Kandy","1,048","1,279","1,381","1,417","1,434","1,452","1,468","1,476","1,483","1,501","1,499"
"Matale","357","441","486","501","508","514","519","522","525","530","530"
"Nuwara Eliya","604","704","715","741","749","756","763","768","773","780","783"
"Kegalle","685","786","843","863","871","877","884","887","891","898","898"
"Ratnapura","797","1,016","1,092","1,125","1,138","1,151","1,163","1,171","1,179","1,190","1,193"
"Kurunegala","1,212","1,460","1,624","1,661","1,680","1,694","1,711","1,719","1,726","1,743","1,742"
"Puttalam","493","710","765","786","797","814","825","832","837","849","850"
"Anuradhapura","588","745","864","896","909","918","930","937","943","954","957"
"Polonnnaruwa","262","359","408","422","428","431","436","440","443","448","449"
"Ampara","389","593","652","674","686","705","719","728","736","752","754"
"Batticaloa","330","486","528","541","551","560","570","575","579","590","590"
"Trincomalee","256","340","381","396","404","412","421","426","431","441","444"
"Jaffna (e)","739","491","585","596","600","608","613","617","621","626","629"
"Kilinochchi (e)","92","127","114","119","120","124","126","129","130","133","135"
"Mannar","106","152","100","103","105","107","109","111","112","114","115"
"Mullaitivu","77","121","93","96","97","96","96","97","98","98","99"
"Vavuniya","95","150","173","181","183","184","187","189","191","194","195"
"Total","14,847","18,797","20,425","20,970","21,209","21,444","21,670","21,803","21,919","22,156","22,181"
