"","","","","","Rs. million"
"Item","2018","2019","2020 (b)","2021 (b)(c)","2022 (c)"
"1.  Consumption Expenditure","10,571,361","11,403,356","11,469,129","12,434,283","16,700,557"
"1.1   Private","9,249,688","9,975,736","9,842,246","10,769,655","14,973,295"
"1.2   Government","1,321,672","1,427,620","1,626,883","1,664,627","1,727,261"
"2.  Gross Domestic Capital Formation","5,842,451","5,427,029","5,168,381","6,466,957","8,304,627"
"3.  Gross Domestic Expenditure (1+2)","16,413,811","16,830,385","16,637,510","18,901,240","25,005,184"
"4. 
Export of Goods and Services","3,292,414","3,472,337","2,418,542","2,980,263","5,187,941"
"5. 
Import of Goods and Services","4,354,292","4,391,746","3,384,516","4,281,313","6,045,399"
"6.  Gross Domestic Product (3+4-5)","15,351,933","15,910,976","15,671,535","17,600,191","24,147,726"
"7.  Net Primary Income from Rest of the World (d)","-389,601","-441,394","-423,063","-395,539","-621,353"
"8.  Gross National Income (6+7)","14,962,333","15,469,582","15,248,473","17,204,651","23,526,373"
"(a) Based on the GDP estimates under the new base year 2015 (replacing base year 2010). Data from 2015","","","","Sources:  Department of Census and Statistics",""
