"","(Computed as per the Financial Survey)","","","","","","",""
"","","","","","","","","Rs. billion"
"","","","","","","Change","",""
"","End","End","","","","","",""
"Item","","","","2021","","","2022",""
"","2021","2022 (a)","","","","","",""
"","","","Amount","","%","Amount","","%"
"Financial Survey (M4)","12,985.4","14,839.8","1,523.5","","13.3","1,854.4","","14.3"
"Underlying Factors","","","","","","","",""
"Net Foreign Assets","-998.6","-1,766.8","-781.5","","-360.0","-768.2","","-76.9"
"Monetary Authorities (b)","-387.3","-1,613.9","-914.0","","-173.5","-1,226.6","","-316.7"
"LCBs","-594.7","-153.0","141.5","","19.2","441.8","","74.3"
"LSBs","-16.6","0.0","-9.0","","-117.9","16.6","","-"
"Net Domestic Assets","13,984.0","16,606.6","2,305.0","","19.7","2,622.6","","18.8"
"Domestic Credit","17,296.4","20,135.8","2,643.9","","18.0","2,839.4","","16.4"
"Net Credit to the Government","6,769.3","8,468.6","1,403.6","","26.2","1,699.3","","25.1"
"Central Bank","2,094.1","3,432.5","1,225.2","","141.0","1,338.4","","63.9"
"LCBs","3,738.3","4,038.6","59.2","","1.6","300.3","","8.0"
"LSBs","844.5","881.5","102.3","","13.8","37.0","","4.4"
"LFCs","92.4","116.0","16.9","","22.4","23.7","","25.6"
"Credit to Public Corporations/SOBEs (LCBs)","1,188.1","1,747.0","185.9","","18.6","558.9","","47.0"
"Credit to the Private Sector","9,338.9","9,920.2","1,054.4","","12.7","581.2","","6.2"
"LCBs","6,981.4","7,414.1","810.5","","13.1","432.7","","6.2"
"LSBs","1,093.7","1,159.1","157.3","","16.8","65.4","","6.0"
"LFCs","1,263.8","1,346.9","86.7","","7.4","83.1","","6.6"
"Other Items (net) (c)","-3,312.4","-3,529.2","-339.0","","-11.4","-216.8","","-6.5"
"(a) Provisional","","","","","","","Source: Central Bank of Sri Lanka",""
