"NIC","National Identity Card","OFC","Other Field Crops"
"NIE","National Institute of Education","OFID","OPEC Fund for International Development"
"NIFS","National Institute of Fundamental Studies","OIAs","Outward Investment Accounts"
"NII","Net Interest Income","OJT","On – the – Job Training"
"NIM","Net Interest Margin","OMO","Open Market Operations"
"NIP","National Industrial Policy","OPEC","Organization of the Petroleum Exporting Countries"
"NIR","Net International Reserves","OPEC+","Organization of the Petroleum Exporting Countries Plus"
"NLAC","National Labour Advisory Council","OPL","Official Poverty Line"
"NLDB","National Livestock Development Board","OPRC","Output and Performance-based Road Contracts"
"NOP","Net Open Position","OSU","One Stop Unit"
"NORAD","Norwegian Agency for Development Corporation","PABC","Pan Asia Banking Corporation PLC"
"NOU","National Ozone Unit","PADSL","Petroleum Development Authority of Sri Lanka"
"NOS","Net Operating Surplus","PAEH","Port Access Elevated Highway"
"NPAs","Non-Performing Advances","PAL","Ports and Airports Development Levy"
"NPC","National Payments Council","PAMP","Poverty Alleviation Microfinance Project"
"NPISH","Non-Profit Institutions Serving Households","PAMPII-RF","Poverty Alleviation Microfinance Project - II -"
"NPLs","Non-Performing Loans","","Revolving Fund"
"NPNG","National Police on Natural Gas","PAT","Profit After Tax"
"NPMP","National Port Master Plan","PAYE","Pay-As-You-Earn"
"NPS","National Productivity Secretariat","PB","Petabyte"
"NRA","National Risk Assessment","PBB","Performance Based Budgeting"
"NRC","National Research Council","PBOC","People’s Bank of China"
"NRCP","Northern Road Connectivity Project","PBV","Price to Book Value"
"NRFC","Non Resident Foreign Currency (Account)","PCs","Provincial Councils"
"NRI","Networked Readiness Index","PCC","Pure Ceylon Cinnamon"
"NRIFAP","National REDD + Investment Framework and","PCE","Private Consumption Expenditure"
"","Action Plan","PCG","Partial Credit Guarantee Scheme"
"NRNNFA","Non Resident Non National Foreign Currency Account","PCR","Polymerase Chain Reaction"
"NRRP","Northern Road Rehabilitation Project","PCS","Port Communication System"
"NSB","National Savings Bank","PD","Primary Dealer"
"NSBM","National School of Business Management","PDCs","Primary Dealer Companies"
"NSF","National Science Foundation","PDASL","Petroleum Development Authority of Sri Lanka"
"NSFR","Net Stable Funding Ratio","PDCs","Primary Dealer Companies"
"NSHEls","Non-State Higher Education Institutes","PEARL","Post-disaster Economic Activity Recovery"
"NSW","National Single Window","","Loan Scheme"
"NTBS","Non Tariff Barriers","PE","Price to Earning"
"NTC","National Transport Commission","PER","Price to Earnings Ratio"
"NTF","Near Term Forecasting","PFCAs","Personal Foreign Currency Accounts"
"NTFC","National Trade Facilitation Committee","PFIs","Participating Financial Institutions"
"NTNC","National Trade Negotiation Committee","PFP","Prime Finance PLC"
"NTPC","National Thermal Power Corporation","PFM","Public Financial Management"
"NTM","Non-tariff Measures","PGDP","Provincial Gross Domestic Product"
"NTP","New Trade Policy","PHCR","Poverty Headcount Ratio"
"NVQ","National Vocational Qualification","PHSRC","Private Health Services Regulatory Council"
"NWS&DB","National Water Supply and Drainage Board","PIESIP","Productivity Enhancement and Irrigation System"
"NYSC","National Youth Services Council","","Efficiency Improvement Project"
"NWSL","Natwealth Securities Limited","PIs","Participating Institutions"
"OAPEC","Organization of Arab Petroleum Exporting","PLC","Public Limited Company"
"","Countries","PMB","Paddy Marketing Board"
"OBUs","Offshore Banking Units","PMI","Purchasing Managers’ Index"
"OCH","Outer Circular Highway","PMI","Private Medical Institutions"
"OCI","Other Comprehensive Income","PMS","Pension Management System"
"ODS","Ozone Depleting Substances","PMU","Project Management Unit"
"OECD","Organization of Economic Co-operation and","POC","Proof of Concept"
"","Development","POS","Point of Sale"
