"Item","Unit","2013","2014","2015","2016","2017","2018","2019","2020","2021 (a)","2022 (b)"
"1. Total Forest Cover (c)","hectares ‘000","1,951","1,951","1,951","1,951","1,951","1,951","1,951","1,866","1,866","1,913"
"o/w Closed Canopy Forest","hectares ‘000","1,438","1,438","1,438","1,438","1,438","1,438","1,438","1,436","1,436","1,436"
"Sparse Forest","hectares ‘000","429","429","429","429","429","429","429","410","410","390"
"Mangroves","hectares ‘000","15.7","15.7","15.7","15.7","15.7","15.7","15.7","19.8","19.8","19.8"
"2. Extent Deforested (d)","hectares","1,513","1,611","423","1,240","851","956","849","825","807","1,047"
"3. Extent Reforested (e)","hectares","1,319","904","450","905","956","977","890","802","1,724","3,222"
"4. Forest Offences Recorded","No.","3,023","2,533","2,545","3,618","3,887","3,757","3,937","5,632","n.a.","n.a."
"Volume of Timber Detected","cubic metres","2,302","10,598","2,512","2,579","2,738","3,652","3,569","3,079","2,419","3,650"
"Value of Timber Detected","Rs. mn","51.4","70.1","68.7","69.9","114.2","106.1","188.6","114.5","187.2","8.0"
"(a)  Revised","","","","","","","","","","Source: Forest Department",""
