"","","Consolidated Budget (a)","","","","",""
"Item","2016","2017","2018","2019 (b)","2020","2021","2022 (c)(d)"
"","","Rs. million","","","","",""
"Total Revenue and Grants","1,811,746","1,963,104","2,059,743","2,034,352","1,475,276","1,568,129","2,086,382"
"Grants","7,496","8,031","12,486","7,909","5,348","6,740","33,405"
"Total Revenue","1,804,250","1,955,073","2,047,257","2,026,443","1,469,928","1,561,390","2,052,977"
"Tax Revenue","1,544,625","1,756,045","1,805,502","1,828,803","1,271,894","1,365,182","1,811,026"
"Taxes on Foreign Trade","302,538","371,336","288,341","331,668","361,643","349,836","273,926"
"Taxes on Domestic Goods and Services","843,980","1,063,571","1,079,901","964,864","574,962","630,377","872,655"
"VAT","283,470","443,739","461,651","443,877","233,786","308,213","463,072"
"Excise Tax","457,747","471,942","486,556","401,955","323,756","309,051","345,203"
"Turnover Tax/NBT","82,775","101,843","105,304","105,546","5,058","682","586"
"Licence Fees","19,989","19,963","26,390","13,486","12,362","12,431","63,794"
"Taxes on Net Income and Profits","258,857","274,562","310,345","427,700","268,249","302,115","534,021"
"Stamp Duty","41,545","38,592","43,917","43,041","38,459","52,294","45,111"
"Other","97,705","7,984","82,998","61,530","28,581","30,560","85,313"
"Non Tax Revenue","259,626","199,028","241,756","197,640","198,033","196,208","241,951"
"Current Revenue","249,641","189,414","234,699","189,039","182,000","190,389","241,908"
"Interest, Profits and Dividends","115,465","64,124","52,740","44,028","26,960","39,266","41,906"
"Fees and Administration Charges","77,109","75,395","107,602","84,411","57,333","52,997","97,418"
"Central Bank Profit Advances","5,000","-","15,000","-","24,009","15,012","30,007"
"Other","52,066","49,895","59,356","60,600","73,698","83,114","72,577"
"Capital Revenue","9,984","9,614","7,057","8,601","16,033","5,819","43"
"Total Expenditure","2,452,071","2,696,598","2,820,512","3,473,440","3,142,964","3,626,054","4,546,349"
"Recurrent Expenditure","1,851,723","2,024,239","2,187,972","2,534,586","2,608,367","2,814,052","3,603,683"
"Personal Emoluments","638,978","650,100","687,321","753,687","813,727","870,336","987,419"
"Other Purchases of Goods and Services","168,532","175,802","181,005","173,364","175,648","163,560","181,306"
"Interest Payments","610,895","735,566","852,190","901,353","980,302","1,048,382","1,565,190"
"Transfer Payments","433,318","462,772","467,455","582,755","762,118","731,773","869,771"
"Adjustment for arrears as per the Ministry of Finance","-","-","-","123,428","(123,428)","-","-"
"Capital Expenditure","601,283","665,338","641,586","644,609","837,328","805,385","705,168"
"Acquisition of Fixed Capital Assets","349,996","385,562","381,892","405,301","500,527","455,739","446,618"
"Capital Transfers","223,217","247,343","235,198","226,409","289,080","293,047","248,688"
"Other","28,069","32,434","24,496","12,899","47,721","56,600","9,862"
"Lending Minus Repayments","(934)","7,021","(9,046)","(4,933)","(3,552)","6,617","237,495"
"Adjustment for arrears on capital expenditure as per","","","","","","",""
"the Ministry of Finance","-","-","-","299,178","-299,178","-","-"
"Consolidated Fiscal Balance","-640,325","-733,494","-760,769","-1,439,088","-1,667,688","-2,057,925","-2,459,967"
"","","As a percentage of GDP (e)","","","","",""
"Total Revenue and Grants","14.1","13.6","13.4","12.8","9.4","8.9","8.6"
"Tax Revenue","12.1","12.2","11.8","11.5","8.1","7.8","7.5"
"Non Tax Revenue","2.0","1.4","1.6","1.2","1.3","1.1","1.0"
"Grants","0.1","0.1","0.1","0.0","0.0","0.0","0.1"
"Total Expenditure","19.1","18.7","18.4","21.8","20.1","20.6","18.8"
"Recurrent Expenditure","14.5","14.1","14.3","15.9","16.6","16.0","14.9"
"Capital Expenditure","4.7","4.6","4.2","4.1","5.3","4.6","2.9"
"Lending Minus Repayments","(0.01)","0.05","(0.06)","(0.03)","(0.02)","0.04","1.0"
"Adjustment for arrears on total expenditure as per the","","","","","","",""
"","-","-","-","2.7","(2.7)","-","-"
"Ministry of Finance","","","","","","",""
"Consolidated Fiscal Balance","(5.0)","(5.1)","(5.0)","(9.0)","(10.6)","(11.7)","(10.2)"
"","(a)   Includes central government, provincial councils and local governments fiscal operations.","","","","","Sources : Ministry of Finance, Economic",""
