"","Capacity Utilisation in Factory Industry","","","",""
"","","","","","Per cent"
"Category","2018","2019","2020","2021","2022 (a)"
"1.
Manufacture of Food Products","83","83","82","81","65"
"2.
Manufacture of Beverages","80","72","66","69","74"
"3.
Manufacture of Tobacco Products","72","77","69","74","75"
"4.
Manufacture of Textiles","87","87","74","83","65"
"5.
Manufacture of Wearing Apparel","84","83","56","63","67"
"6.
Manufacture of Leather and Related Products","84","87","66","57","57"
"7.
Manufacture of Wood and Products of Wood and Cork, except Furniture; Articles","84","73","52","63","64"
"of Straw and Plaiting Materials","","","","",""
"8.
Manufacture of Paper and Paper Products","60","70","63","50","32"
"9.
Printing and Reproduction of Recorded Media","96","92","74","47","32"
"10. Manufacture of Coke and Refined Petroleum Products","61","77","71","52","21"
"11. Manufacture of Chemicals and Chemical Products","65","66","50","43","42"
"12. Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations","83","79","83","88","68"
"13. Manufacture of Rubber and Plastic Products","86","77","57","76","69"
"14. Manufacture of Other Non-metallic Mineral Products","82","80","75","87","69"
"15. Manufacture of Basic Metals","76","74","45","39","24"
"16. Manufacture of Fabricated Metal Products (except Machinery Equipment)","70","64","54","63","35"
"17. Manufacture of Electrical Equipment","75","81","71","76","54"
"18. Manufacture of Machinery and Equipment (n.e.c.)","71","72","69","76","68"
"19. Manufacture of Furniture","83","79","69","66","55"
"20. Other Manufacturing","78","63","64","49","45"
"Industry Average","81","81","67","69","62"
"n.e.c. - not elsewhere classified","","","Source: Department of Census and Statistics","",""
