"2022 contributing to 13.8 per cent of the financial","","","","","",""
"","","Table 8.16","","","",""
"sector  assets.  However,  the  sector  is  dominated","","","","","",""
"","","Five year Performance Summary of the EPF","","","",""
"by  the  Employees’  Provident  Fund  (EPF),  which","","","","","",""
"","Item","2018","2019","2020","2021","2022(a)"
"","","","","","",""
"accounts for 79.6 per cent of the total assets of the","Net Worth of the Fund (Rs. bn)","2,289.4","2,540.4","2,824.3","3,166.1","3,459.9"
"","Total Liability to the Members","","","","",""
"","","2,254.2","2,497.6","2,767.8","3,066.9","3,380.6"
"","(Rs. bn)","","","","",""
"Superannuation  sector.  There  were 
two  publicly","","","","","",""
"","Total Contributions (Rs. bn)","145.0","157.2","150.7","165.7","194.6"
"","Total Refunds (Rs. bn)","108.0","126.3","109.7","118.2","163.0"
"managed funds, namely, the Employees’ Trust Fund","Net Contribution (Rs. bn)","37.0","30.9","41.0","47.5","31.6"
"","Interest Rate on Member","","","","",""
"","","","","","",""
"(ETF) and the state sector Public Service Provident","Balance (%)","9.50","9.25","9.00","9.00","9.00"
"","Total Number of Member","","","","",""
"Fund 
(PSPF) 
in 
operation 
which 
accounted","","18.7","19.4","19.8","20.3","20.4"
"","Accounts (mn.)","","","","",""
"","Active Number of Member","","","","",""
"10.8  per  cent  and  2.0  per  cent  of  the  total  assets","","2.9","2.9","2.6","2.5","2.4"
"","Accounts (mn.)","","","","",""
"","(a) Provisional","","","Source: Central Bank of Sri Lanka","",""
"of the Superannuation sector respectively as at end","","","","","",""
