"","","Industrial Exports","","","","","Agricultural Exports","","","","Total"
"Period","","","","","","","","","","",""
"","","","","","","","","","","Mineral","Exports"
"","Textiles and","Petroleum","Rubber","","","","Coconut","Minor","","Exports",""
"","","","","Total","Tea","Rubber","","","Total","",""
"","Garments","Products","Products","","","","Products","Agri. Products","","",""
"2018","228.4","340.9","226.1","218.7","142.4","26.0","269.5","237.0","160.7","203.4","198.3"
"2019","263.9","313.1","246.0","244.7","147.8","22.1","314.2","266.2","168.9","221.4","219.0"
"2020","215.6","231.3","231.2","206.0","141.4","28.5","341.6","308.6","166.2","170.0","190.7"
"2021","285.1","339.3","332.0","280.3","161.8","42.8","452.1","367.1","208.4","322.8","255.1"
"2022 (b)","506.9","595.4","499.8","490.1","252.5","65.1","686.2","734.7","320.4","601.2","434.4"
"2020      1st    Quarter","241.4","435.1","227.5","226.0","121.0","26.8","274.5","357.6","141.7","130.2","198.3"
"2nd   Quarter","136.1","106.2","166.6","133.2","139.7","24.1","306.6","289.5","153.8","133.0","135.8"
"3rd    Quarter","262.5","192.5","272.2","249.9","158.4","24.5","437.3","370.5","198.9","167.9","230.5"
"4th    Quarter","222.5","191.6","258.4","214.7","146.5","38.6","347.9","216.9","170.2","249.0","198.1"
"2021      1st    Quarter","272.8","223.4","316.1","259.4","161.2","48.4","399.9","307.1","197.8","334.2","237.4"
"2nd   Quarter","242.2","296.4","308.0","243.3","152.9","32.8","425.0","280.8","181.8","380.2","221.9"
"3rd    Quarter","297.8","410.2","348.3","291.0","165.8","50.0","499.5","438.3","224.2","261.5","266.9"
"4th    Quarter","327.6","427.2","355.8","327.4","167.2","39.9","484.2","442.4","229.7","315.4","294.3"
"2022 (b)  1st    Quarter","340.7","526.9","350.5","335.2","154.7","65.5","493.5","368.3","204.0","322.5","292.7"
"2nd   Quarter","550.2","769.7","535.0","532.0","248.9","61.0","824.0","872.2","331.3","339.0","466.2"
"3rd    Quarter","609.9","459.3","601.3","575.7","319.5","69.8","757.8","981.1","395.9","371.6","514.5"
"4th    Quarter","526.8","625.7","512.3","517.6","287.1","64.0","669.5","717.4","350.2","1,371.5","464.2"
"2021  
   January","255.0","264.2","291.4","243.0","141.8","45.9","294.8","228.4","175.4","289.8","219.6"
"February","272.3","177.4","299.6","250.3","161.0","32.4","384.3","266.3","184.5","309.8","227.4"
"March","291.3","228.5","357.4","284.8","180.9","66.9","520.4","426.6","233.3","403.0","265.2"
"April","228.7","288.8","231.7","222.6","115.3","38.6","345.7","285.1","150.6","362.1","198.8"
"May","235.2","267.7","338.4","238.9","160.7","27.5","435.4","293.5","183.1","390.7","219.1"
"June","262.7","332.8","353.7","268.5","182.5","32.4","493.8","263.8","211.8","387.7","247.7"
"July","287.4","418.9","356.1","288.9","169.7","39.8","520.4","448.9","245.9","237.5","271.8"
"August","313.0","374.0","338.7","299.5","172.6","45.9","514.8","467.1","221.0","275.1","271.7"
"September","293.1","437.6","350.1","284.6","155.0","64.2","463.2","398.9","205.7","272.0","257.2"
"October","324.9","386.9","340.1","331.7","162.4","39.3","519.8","447.9","223.7","192.2","295.1"
"November","318.2","480.7","380.6","329.0","175.1","40.6","527.7","508.1","249.9","308.3","301.0"
"December","339.8","413.9","346.7","321.7","164.2","39.7","405.0","371.2","215.4","445.6","286.7"
"2022 (b) January","329.1","545.6","315.0","313.1","135.5","62.8","430.2","335.6","189.7","380.1","273.4"
"February","316.9","462.2","339.7","311.2","150.0","60.0","448.2","292.5","187.7","363.1","271.5"
"March","376.0","572.9","396.7","381.2","178.5","73.7","602.0","476.7","234.7","224.4","333.2"
"April","452.5","753.5","414.9","439.8","189.4","61.6","696.7","704.9","261.3","268.5","381.8"
"May","549.6","767.7","506.4","534.2","247.9","59.3","840.1","944.6","315.5","292.4","463.2"
"June","648.4","788.0","683.7","622.1","309.3","62.0","935.3","967.0","417.2","456.0","553.8"
"July","629.8","469.1","594.2","586.7","312.6","63.9","764.3","844.2","379.3","245.3","517.3"
"August","647.7","469.9","664.8","607.7","331.0","71.9","820.2","1,099.1","422.6","389.8","544.5"
"September","552.2","438.8","544.9","532.7","314.7","73.6","688.8","1,000.0","385.8","479.8","481.7"
"October","509.7","553.9","574.1","519.4","291.0","75.4","880.9","810.2","377.2","508.0","470.1"
"November","517.3","599.8","469.3","501.5","283.1","44.9","550.5","753.6","333.4","274.5","445.2"
"December","553.4","723.4","493.3","532.0","287.2","71.8","577.1","588.3","340.2","3,332.0","477.3"
"","","","","","","","","","","","(Contd.)"
