"","","","","","","","Workers’ Remittances","","","","","","","","",""
"","","","","US$ million","","","","","Rs. million","","","","","Percentage Share","",""
"","Origin","","","","","","","","","","","","","","",""
"","","2018","2019","2020","2021","2022 (a)","2018","2019","2020","2021","2022 (a)","2018","2019","2020","2021","2022 (a)"
"1. Middle East","","3,592","3,459","3,673","2,834","1,936","582,719","618,394","680,892","560,989","640,030","51.2","51.5","51.7","51.6","51.1"
"2.","European Union","1,312","1,263","1,350","1,032","705","212,829","225,744","250,231","204,391","232,966","18.7","18.8","19.0","18.8","18.6"
"3.","Far East Asia","849","826","870","686","481","137,713","147,694","161,333","135,898","159,068","12.1","12.3","12.3","12.5","12.7"
"4.","Europe - Other","309","282","305","231","155","50,077","50,432","56,631","45,662","51,353","4.4","4.2","4.3","4.2","4.1"
"5.","North America","182","161","178","126","91","29,591","28,818","32,925","25,005","30,060","2.6","2.4","2.5","2.3","2.4"
"6.","South East Asia","407","376","408","324","220","66,011","67,243","75,728","64,144","72,645","5.8","5.6","5.8","5.9","5.8"
"7.","Australia and New Zealand","154","175","178","143","102","25,039","31,220","32,925","28,267","33,818","2.2","2.6","2.5","2.6","2.7"
"8.","South Asia","154","134","114","93","76","25,039","24,015","21,072","18,482","25,050","2.2","2.0","1.6","1.7","2.0"
"9.","South and Central America","35","27","21","16","15","5,691","4,803","3,951","3,262","5,010","0.5","0.4","0.3","0.3","0.4"
"10. Other","","21","13","7","5","8","3,414","2,402","1,317","1,087","2,505","0.3","0.2","0.1","0.1","0.2"
"","Total","7,015","6,717","7,104","5,491","3,789","1,138,124","1,200,766","1,317,007 1,087,188 1,252,504","","","100.0","100.0","100.0","100.0","100.0"
