"","2018","2019","2020","2021","2022"
"Category","","","","",""
"","December","December","December","December(a)","December (b)"
"1. Capital Adequacy","","","","",""
"1.1  Core Capital to Risk Weighted Assets (CCR) (c)","9.3","10.5","13.9","15.0","20.6"
"1.2  Capital Base to Risk Weighted Assets (RWCAR) (d)","10.6","11.9","15.1","16.6","22.0"
"1.3  Capital Funds to Total Assets (Net)","12.1","13.5","17.0","18.7","21.8"
"1.4  Capital Funds to Deposits","23.3","24.9","31.1","34.7","40.7"
"1.5  Borrowings to Equity (times)","2.6","2.0","1.3","1.1","0.9"
"2. Asset Quality","","","","",""
"2.1  Gross Non Performing Advances to Total Advances","7.8","10.8","13.9","10.8","17.4"
"2.2  Net Non Performing Advances to Total Advances (e)","2.5","3.4","4.2","2.5","12.3"
"2.3  Impairment made against Total Advances (f)","4.5","6.1","8.2","7.3","7.6"
"2.4  Impairment Coverage Ratio (Stage 03 Impairment","","","","",""
"to Stage 03 Advances) (g)","57.2","56.4","58.9","67.3","29.6"
"3. Liquidity","","","","",""
"3.1  Regulatory Liquid Assets to Total Assets","7.5","8.7","9.3","9.6","10.7"
"3.2  Regulatory Liquid Assets to Deposits and Borrowings","9.5","11.3","13.0","13.9","15.6"
"4. Earnings (h)","","","","",""
"4.1  Return on Assets (i)","2.4","2.0","1.6","5.3","3.7"
"4.2  Return on Equity (j)","12.0","7.3","6.1","20.7","12.7"
"4.3  Interest Income to Interest Expenses","179.2","179.7","191.1","249.1","172.8"
"4.4  Net Interest Margin (NIM) (k)","6.9","7.5","7.1","8.4","6.7"
"4.5  Efficiency Ratio (l)","68.4","75.2","75.6","51.6","58.1"
"4.6  Cost to Income Ratio","86.6","89.6","90.3","69.3","79.9"
"5. Assets/Funding Structure (as a % of Total Net Assets)","","","","",""
"5.1  Equity","12.2","13.5","17.0","19.9","22.6"
"5.2  Total Deposits and Borrowings","83.2","81.9","77.5","75.1","73.7"
"5.3  Loans and Advances","79.2","76.7","73.8","76.6","74.4"
"5.4  Investments","8.2","9.7","11.8","11.7","12.5"
