"","","","","Clothing and","","Equipment and","","","","Recreation","","Restaurants",""
"Period (b)","All Items","Alcoholic","Beverages and","","Electricity,","","Health","Transport","Communication","","Education","","Goods and"
"","","","","Footwear","","Routine","","","","and Culture","","and Hotels",""
"","","Beverages","Tobacco","","Gas and","","","","","","","","Services"
"","","","","","","Household","","","","","","",""
"","","","","","Other Fuels","","","","","","","",""
"","","","","","","Maintenance","","","","","","",""
"Base Weights","100.0","44.0","2.3","3.4","18.0","3.3","4.1","9.8","2.3","1.6","2.8","3.9","4.5"
"2019","129.6","127.6","200.6","128.6","126.7","129.3","162.3","116.4","110.3","123.3","137.1","119.1","141.5"
"2020","137.6","143.1","214.4","132.2","127.7","130.6","162.2","119.3","98.9","124.9","143.7","122.0","144.2"
"2021","147.2","159.2","220.4","137.7","129.1","138.7","169.3","127.9","98.9","126.4","144.6","131.9","148.3"
"2022","221.5","255.6","300.4","189.9","156.9","222.9","222.7","229.6","111.9","170.6","178.1","221.5","211.3"
"2020
1st   Quarter","136.4","141.5","208.5","131.2","127.8","130.3","162.9","117.8","98.9","125.1","143.7","120.2","142.9"
"2nd  Quarter","135.8","139.9","206.8","131.6","127.7","130.4","163.6","118.3","98.9","124.7","143.7","120.4","143.9"
"3rd  Quarter","138.0","143.8","219.6","132.8","127.6","130.7","162.0","119.0","98.9","124.7","143.7","123.4","144.4"
"4th   Quarter","140.0","147.4","222.8","133.4","127.7","131.0","160.4","122.1","98.9","125.1","143.6","123.9","145.6"
"2021
1st   Quarter","142.3","151.6","215.0","134.6","127.9","133.8","163.6","124.8","98.9","125.1","143.9","124.8","145.9"
"2nd  Quarter","143.8","153.8","215.8","136.3","128.1","135.7","166.6","126.3","98.9","125.1","143.9","126.5","146.5"
"3rd  Quarter","147.1","159.2","220.0","137.5","128.3","138.3","170.2","129.6","98.9","126.6","144.3","128.6","147.3"
"4th   Quarter","155.6","172.1","230.8","142.3","132.3","146.9","176.7","131.1","98.9","129.0","146.1","147.7","153.5"
"2022
1st   Quarter","168.8","191.4","249.5","151.0","134.7","155.5","184.3","148.6","99.0","135.2","150.4","166.5","158.5"
"2nd  Quarter","210.2","245.9","283.3","171.9","148.3","192.4","212.4","221.6","101.8","152.6","176.0","207.3","186.9"
"3rd  Quarter","250.3","293.4","324.8","205.1","168.4","256.9","236.2","278.8","112.6","182.7","187.8","249.4","234.4"
"4th   Quarter","256.5","291.8","344.1","231.8","176.3","286.8","257.9","269.2","134.3","211.8","198.2","262.7","265.3"
"2021
January","142.1","151.4","214.5","133.9","127.9","132.8","163.6","124.3","98.9","125.1","143.9","123.9","145.8"
"February","142.8","152.8","214.6","134.4","127.9","134.1","163.6","124.9","98.9","125.1","143.9","123.9","145.9"
"March","142.1","150.7","216.0","135.4","127.9","134.5","163.6","125.2","98.9","125.1","143.9","126.5","146.0"
"April","142.2","150.8","216.0","136.2","127.9","135.0","163.6","125.5","98.9","125.1","143.9","126.5","146.5"
"May","143.6","153.3","215.8","136.4","128.2","136.0","167.2","125.5","98.9","125.1","143.9","126.5","146.5"
"June","145.7","157.3","215.7","136.4","128.3","136.0","169.1","127.9","98.9","125.1","143.9","126.5","146.5"
"July","146.6","158.5","217.5","137.2","128.3","137.0","169.2","129.6","98.9","126.6","143.9","127.9","147.2"
"August","147.1","159.4","220.3","137.7","128.2","137.7","170.1","129.6","98.9","126.6","143.9","128.7","147.3"
"September","147.5","159.6","222.3","137.7","128.3","140.3","171.3","129.6","98.9","126.6","145.2","129.1","147.4"
"October","150.6","162.6","223.1","140.3","131.7","144.4","176.7","130.1","98.9","128.8","146.1","139.6","152.5"
"November","155.3","171.5","229.8","141.5","132.4","146.6","176.7","131.0","98.9","128.8","146.1","147.2","153.2"
"December","161.0","182.1","239.6","145.0","132.7","149.8","176.7","132.1","98.9","129.3","146.1","156.3","154.9"
"2022
January","166.0","188.3","243.0","148.1","134.5","152.5","183.2","140.7","98.9","131.8","150.4","161.2","157.5"
"February","167.8","190.6","249.5","150.9","134.6","154.1","183.2","143.4","98.9","134.9","150.4","165.1","158.5"
"March","172.7","195.2","256.0","153.9","134.9","159.9","186.6","161.6","99.1","138.9","150.4","173.2","159.5"
"April","190.3","218.8","264.3","160.0","141.0","169.2","204.6","191.4","99.1","146.8","176.0","189.7","166.6"
"May","208.7","242.2","277.1","171.1","150.1","189.9","214.7","221.8","100.5","152.2","176.0","204.0","190.0"
"June","231.5","276.6","308.6","184.6","153.9","218.2","217.9","251.7","105.7","158.7","176.0","228.3","204.0"
"July","244.4","289.3","316.8","194.2","157.7","242.4","232.0","281.3","106.3","181.2","186.1","242.1","218.1"
"August","250.4","294.3","323.7","203.8","169.3","257.5","233.3","276.5","107.0","181.7","186.1","248.9","235.9"
"September","256.2","296.5","333.9","217.2","178.3","270.9","243.4","278.7","124.4","185.1","191.2","257.1","249.3"
"October","256.9","294.1","345.8","224.0","177.4","282.0","253.9","271.6","133.3","208.4","197.4","260.6","259.6"
"November","256.3","291.2","344.8","232.8","175.9","287.9","259.8","267.7","134.8","211.5","198.6","262.7","266.4"
"December","256.3","290.0","341.8","238.5","175.6","290.6","260.1","268.4","134.8","215.6","198.6","264.9","270.0"
"","","","","","","","","","","","","Source: Department of Census and Statistics",""
"","(a) The Index was based on the Household Income and Expenditure Survey conducted in 2012/13. The weights are based on","","","","","","","","","","","",""
