"","","","Exports","","","","","","","Colombo Auctions","","",""
"","","Value","","Price (F.O.B.) (a)","","","","Quantity Sold (kg ‘000)","","","","Gross  Price (Rs./kg) (a)",""
"Period","","","","","","","","","","","","",""
"","Volume","","","","","","","","","","","",""
"","(kg ‘000)","","","","","","","","","","","",""
"","","Rs. million","US$ million","Rs./kg","US$/kg","High","Medium","Low","Total","High","Medium","Low","All Tea"
"2018","282,364","231,750","1,428","820.75","5.06","53,341","43,803","184,684","281,828","573.32","518.18","600.17","581.58"
"2019","292,657","240,637","1,346","822.25","4.60","52,859","50,207","187,394","290,461","510.77","466.42","578.60","546.67"
"2020","265,570","230,170","1,241","866.70","4.67","53,041","48,586","168,651","270,278","590.12","553.54","670.93","633.85"
"2021","286,016","263,353","1,324","920.76","4.63","55,610","50,067","176,273","281,950","593.70","547.89","647.54","619.15"
"2022 (b)","250,192","411,092","1,259","1,643.11","5.03","47,445","41,111","150,044","238,600","1,155.28","1,059.90","1,365.13","1,270.50"
"2020       1st    Quarter","59,579","49,236","270","826.39","4.53","12,581","9,956","38,090","60,626","560.20","520.29","629.05","597.44"
"2nd  Quarter","64,508","56,849","302","881.28","4.68","13,606","12,817","38,269","64,692","625.37","586.91","718.31","672.63"
"3rd   Quarter","74,209","64,465","348","868.70","4.69","15,935","15,103","52,117","83,154","546.38","533.33","667.52","620.17"
"4th   Quarter","67,274","59,620","321","886.23","4.78","10,920","10,711","40,175","61,806","628.53","573.65","668.83","645.16"
"2021       1st   Quarter","69,887","65,622","338","938.97","4.84","14,477","12,611","48,495","75,583","620.75","588.14","676.14","650.88"
"2nd  Quarter","67,096","62,208","312","927.16","4.66","16,147","14,112","44,718","74,976","581.20","544.07","638.73","608.53"
"3rd  Quarter","74,657","67,469","336","903.72","4.50","14,199","13,127","44,750","72,076","556.69","513.54","625.65","591.68"
"4th   Quarter","74,377","68,055","338","915.00","4.54","10,787","10,217","38,311","59,315","616.15","545.82","649.64","625.51"
"2022 (b)   1st   Quarter","63,701","62,946","287","988.15","4.50","13,605","11,719","41,142","66,465","716.95","671.63","802.69","761.67"
"2nd  Quarter","61,596","101,286","291","1,644.36","4.72","14,087","11,403","37,996","63,485","1,105.82","1,085.85","1,472.31","1,321.01"
"3rd  Quarter","67,311","130,016","360","1,931.58","5.34","10,040","9,402","36,961","56,403","1,389.79","1,251.23","1,659.58","1,543.13"
"4th   Quarter","57,583","116,843","322","2,029.11","5.59","9,715","8,587","33,945","52,246","1,408.55","1,230.88","1,525.96","1,456.18"
"2021     
 January","20,820","19,237","101","923.99","4.85","4,920","4,449","16,050","25,418","615.64","585.48","672.73","646.41"
"February","23,252","21,839","113","939.22","4.84","4,521","3,711","15,131","23,363","614.62","579.62","676.37","649.08"
"March","25,815","24,545","125","950.81","4.83","5,037","4,451","17,314","26,801","631.99","599.33","679.33","657.15"
"April","16,314","15,647","79","959.13","4.86","3,693","3,255","11,169","18,117","619.85","565.00","650.53","628.91"
"May","23,788","21,801","109","916.47","4.59","5,659","4,699","15,120","25,478","577.11","548.33","643.36","611.07"
"June","26,994","24,760","124","917.25","4.59","6,795","6,158","18,428","31,381","546.64","518.87","622.30","585.61"
"July","25,542","23,022","115","901.35","4.51","4,739","4,463","14,221","23,423","546.40","520.15","628.23","591.09"
"August","25,691","23,416","117","911.44","4.55","5,427","4,966","17,245","27,637","559.11","521.82","623.02","592.28"
"September","23,424","21,031","104","897.84","4.45","4,033","3,698","13,284","21,015","564.55","498.64","625.71","591.67"
"October","24,338","22,026","110","905.01","4.50","3,412","3,366","12,315","19,092","601.77","527.99","638.97","612.78"
"November","25,870","23,748","118","917.96","4.55","4,449","4,367","16,845","25,662","621.97","551.09","645.82","625.62"
"December","24,168","22,281","111","921.89","4.58","2,926","2,484","9,151","14,562","624.73","558.37","664.14","638.13"
"2022 (b)   January","19,382","18,379","91","948.24","4.71","4,173","3,765","13,621","21,558","672.99","617.57","720.48","693.29"
"February","21,145","20,347","101","962.27","4.77","4,355","3,871","13,137","21,363","706.96","645.02","766.48","732.42"
"March","23,174","24,220","95","1,045.14","4.09","5,077","4,083","14,384","23,544","770.92","752.31","921.10","859.29"
"April","18,296","25,697","80","1,404.51","4.40","2,983","2,410","9,581","14,973","1,217.60","1,154.53","1,453.04","1,357.74"
"May","19,722","33,629","94","1,705.14","4.75","6,309","4,989","16,442","27,740","1,071.54","1,111.87","1,518.71","1,343.76"
"June","23,578","41,960","116","1,779.63","4.94","4,795","4,004","11,972","20,772","1,028.32","991.16","1,445.18","1,261.53"
"July","22,756","42,412","118","1,863.73","5.16","3,505","3,220","11,928","18,653","1,239.68","1,163.17","1,622.87","1,471.44"
"August","23,010","44,910","124","1,951.82","5.41","3,863","3,691","14,148","21,702","1,439.48","1,248.71","1,634.95","1,534.00"
"September","21,545","42,694","118","1,981.63","5.47","2,672","2,491","10,885","16,048","1,490.22","1,341.80","1,720.93","1,623.95"
"October","19,002","39,476","109","2,077.45","5.72","3,516","3,048","11,063","17,627","1,485.13","1,285.14","1,568.22","1,502.69"
"November","19,277","38,401","106","1,992.05","5.48","3,758","3,425","13,856","21,039","1,356.70","1,170.48","1,462.49","1,396.43"
"December","19,304","38,967","107","2,018.54","5.56","2,441","2,113","9,026","13,581","1,383.82","1,237.02","1,547.17","1,469.43"
"(a) Prices in rupee terms also include the impact of exchange rate movements","","","","","","","","","","","Sources:  Colombo Tea Brokers’ Association","",""
