"","","","","","Performance of Other Field Crops","","","","","","","","","",""
"","","","Extent Cultivated (hectares)","","","","","Production (mt ’000)","","","","Estimated Average Yield (mt/hectare)","","",""
"Crop","","","","","","","","","","","","","","",""
"","2018","2019","2020","2021 (a)","2022 (b)","2018","2019","2020","2021 (a)","2022 (b)","2018","2019","2020","2021 (a)","2022 (b)"
"Big onions","1,448","924","2,305","3,929","1,440","28.0","18.6","43.0","65.9","17.8","19.4","20.1","18.7","16.8","12.4"
"Black Gram","12,976","5,302","8,812","13,675","10,683","11.9","4.9","9.6","14.4","9.9","0.9","0.9","1.1","1.1","0.9"
"Dried Chillies (c)","13,553","10,981","13,580","12,301","12,095","19.8","15.1","19.8","17.1","15.8","1.5","1.4","1.5","1.4","1.3"
"Cowpea","9,499","7,196","11,518","10,431","14,337","11.2","8.1","13.2","11.9","14.8","1.2","1.1","1.1","1.1","1.0"
"Gingelly (Sesame)","11,873","6,035","11,654","17,228","16,222","8.6","6.1","8.2","12.0","10.2","0.7","1.0","0.7","0.7","0.6"
"Green Gram","8,615","6,156","10,889","17,841","11,899","9.9","7.4","13.5","18.9","12.5","1.1","1.2","1.2","1.1","1.1"
"Ground Nuts","15,752","14,527","19,508","18,537","16,656","27.6","26.9","38.5","36.9","27.2","1.8","1.9","2.0","2.0","1.6"
"finger Millet (Kurakkan)","6,770","4,192","4,570","6,138","9,000","8.1","5.5","6.2","8.1","10.9","1.2","1.3","1.4","1.3","1.2"
"Maize","70,895","63,450","78,249","106,757","84,158","270.0","245.6","313.5","472.4","259.0","3.8","3.9","4.0","4.4","3.1"
"Potatoes","5,174","5,610","3,565","4,623","3,455","88.9","101.6","65.1","75.9","47.6","17.2","18.1","18.3","16.4","13.8"
"Red onions","4,044","5,333","4,623","4,051","4,000","61.1","58.2","65.9","53.8","49.5","15.1","10.9","14.2","13.3","12.4"
"Soya Beans","1,511","914","3,538","1,915","1,931","2.5","2.2","7.9","3.8","3.8","1.7","2.4","2.2","2.0","2.0"
"(a)  Revised","","","","","","","","","","","","","Source: Department of Census and Statistics","",""
