"","","","","","","Change","","",""
"","End","End","End","","","","","",""
"Item","","","","2020","","2021","","2022",""
"","2020","2021","2022 (a)","","","","","",""
"","","","","Amount","%","Amount","%","Amount","%"
"1.   Currency Outstanding","834.8","1,005.1","1,026.6","156.8","23.1","170.3","20.4","21.5","2.1"
"1.1 Currency held by the Public","641.0","784.4","742.0","146.8","29.7","143.4","22.4","-42.4","-5.4"
"1.2 Currency with Commercial Banks","193.8","220.6","284.5","10.0","5.5","26.9","13.9","63.9","28.9"
"2.   Commercial Banks’ Deposits with the Central Bank (b)","129.6","300.7","322.8","-125.0","-49.1","171.1","132.0","22.1","7.4"
"3.   Government Agencies’ Deposits with the Central Bank (c)","0.03","0.01","0.01","","","","","",""
"4.   Reserve Money   (1+2+3)","964.4","1,305.8","1,349.4","31.8","3.4","341.4","35.4","43.6","3.3"
"5.   Demand Deposits held by the Public with Commercial Banks","536.1","675.4","711.6","164.9","44.4","139.3","26.0","36.1","5.3"
"6.   Narrow Money Supply, M1   (1.1+5)","1,177.2","1,459.9","1,453.6","311.7","36.0","282.7","24.0","-6.3","-0.4"
"7.   Time and Savings Deposits held by the Public with Commercial Banks","7,318.6","8,179.0","9,043.5","1,271.4","21.0","860.4","11.8","864.4","10.6"
"8.   Broad Money Supply, M2    (6+7)","8,495.8","9,638.9   10,497.1","","1,583.1","22.9","1,143.1","13.5","858.1","8.9"
"9.   Adjusted Foreign Currency Deposits (d)","909.9","1,008.4","1,792.6","198.5","27.9","98.5","10.8","784.2","77.8"
"10. Consolidated Broad Money Supply, M2b  (8+9)","","9,405.7   10,647.3   12,289.6","","1,781.6","23.4","1,241.6","13.2","1,642.3","15.4"
"Money Multiplier, M2b","9.75","8.15","9.11","","","","","",""
"Velocity, M2b (e)","1.84","1.73","2.05","","","","","",""
"(a) Provisional","","","","","","","Source: Central Bank of Sri Lanka","",""
