"Part III","","","","Administrative Measures Adopted by the Government and the Monetary Board during the Year","",""
"No.","HS code","No.","HS code","No.","HS code","No."
"77","200897","121","24031990","165","40169510","209"
"78","20089910","122","24039190","166","40169590","210"
"79","20089990","123","24039990","167","40169990","211"
"80","20091110","124","33030010","168","420100","212"
"81","20091190","125","33030021","169","420211","213"
"82","200912","126","33030022","170","420212","214"
"83","200949","127","33030029","171","420219","215"
"84","200969","128","330410","172","420221","216"
"85","200971","129","330420","173","420222","217"
"86","200979","130","330430","174","420229","218"
"87","200981","131","330491","175","420231","219"
"88","20098990","132","330499","176","420232","220"
"89","200990","133","330510","177","420239","221"
"90","220210","134","330520","178","420291","222"
"91","220291","135","330530","179","420292","223"
"92","22029910","136","330590","180","420299","224"
"93","22029930","137","330610","181","420310","225"
"94","22029940","138","330690","182","420321","226"
"95","22029951","139","330710","183","420329","227"
"96","22029959","140","330720","184","420330","228"
"97","22029961","141","330730","185","420340","229"
"98","22029969","142","330749","186","42050010","230"
"99","22029970","143","33079090","187","42050090","231"
"100","22029991","144","34011920","188","430400","232"
"101","22029999","145","34012010","189","441911","233"
"102","22030010","146","34013020","190","441990","234"
"103","22030020","147","34029010","191","442090","235"
"104","22030090","148","340510","192","44219190","236"
"105","220410","149","340520","193","44219990","237"
"106","220421","150","340530","194","480300","238"
"107","220510","151","34054010","195","48181010","239"
"108","220710","152","34054090","196","48181090","240"
"109","220820","153","340590","197","481820","241"
"110","220830","154","340600","198","481830","242"
"111","22084010","155","38070010","199","48185090","243"
"112","220850","156","38140010","200","48189020","244"
"113","220860","157","38140090","201","48189090","245"
"114","220870","158","381900","202","570110","246"
"115","22089010","159","39262020","203","57019090","247"
"116","240210","160","39262090","204","57022010","248"
"117","24022020","161","401519","205","570231","249"
"118","24022050","162","401590","206","570232","250"
"119","24022060","163","401691","207","570241","251"
"120","24031920","164","401694","208","570249","252"
