"","","","","","","Director/ Domestic Operations",""
"","","","Annex 1: List of HS Codes subjected to Margin Requirement","","","",""
"No.","HS code","No.","HS code","No.","HS code","No.","HS code"
"1","030441","20","08023190","39","081400","58","180620"
"2","030449","21","08028090","40","090121","59","180631"
"3","030451","22","08041010","41","090122","60","180632"
"4","030461","23","08041020","42","09022019","61","180690"
"5","030462","24","08051010","43","09022093","62","190211"
"6","030469","25","08052110","44","09022099","63","190219"
"7","030474","26","080610","45","100490","64","190220"
"8","04029990","27","080620","46","110412","65","190230"
"9","040310","28","080810","47","110419","66","190240"
"10","040390","29","080830","48","110422","67","190410"
"11","040510","30","080940","49","110423","68","190420"
"12","040620","31","081050","50","110429","69","200799"
"13","040630","32","08109090","51","110430","70","200811"
"14","040690","33","081120","52","110510","71","20081910"
"15","060311","34","081190","53","110520","72","20081920"
"16","060490","35","081320","54","110710","73","20081990"
"17","08011190","36","081330","55","110720","74","20083090"
"18","08011990","37","08134090","56","110814","75","200860"
"19","08021190","38","081350","57","110900","76","200870"
