"","","","","","","",""
"Name of the 
Company","No. of Depositors 
paid","","Compensation paid 
(Rs.million)","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"CIFL","3,451","","1,802.2","","","",""
"","","","","","","",""
"","","","","","","",""
"TSCFL","2,509","","1,193.7","","","",""
"","","","","","","",""
"","","","","","","",""
"TKSFL","1,788","","964.5","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"TFC","34,192","","12,029.8","","","",""
"","","","","","","",""
"","","","","","","",""
"ETIFL","26,280","","12,212.8","","","",""
"","","","","","","",""
"","","","","","","",""
"SFSP","2,607","","1,048.6","","","",""
"Total","70,827","","29,251.6","","","",""
"","","","","","","",""
