"Item","","Amount (Rs. mn)
As at 31.12.2020
As at 31.12.2021",""
"","","",""
"Size of the fund
51,322.1
67,887.3
Total Income
20,814.0
19,298.9
Total Expenditure
31,964.4
96.6","","",""
"Surplus/(Loss) for the year","","",""
"(before tax)
Total Assets
73,559.1
74,443.9","","(11,150.4)","19,202.3"
"","","",""
"Investment in Government","","",""
"Securities","","67,877.8","69,529.2"
"","","",""
"Loans and Receivables (net","","",""
"of provisions)","","682.1","381.9"
"","","",""
"Other Comprehensive","","",""
"Income Reserve","","7,778.2","(2,103.0)"
