"","Employee
Class","Educational Qualifications/Professional Membership Holders","","","","","","","","","","","","","",""
"","","","PhD
Holders","","Master’s 
Degree, First 
Degree & 
Professional 
Memberships","","Master’s 
Degree & First","First 
Degree &","","Master’s 
Degree &","","Master’s","","First Degree","Professional 
Memberships","Total"
"","","","","","","","","","","","","","","","",""
"","","","","","","","Degree","Professional 
Memberships","","Professional 
Memberships","","Degree only","","only","only",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","SC","","25","","132","","164","75","","45","","3","","201","14","659"
"","MAC","","-","","4","","23","17","","13","","28","","44","30","159"
"","OAC","","-","","-","","-","-","","-","","-","","7","-","7"
"","Total","","25","","136","","187","92","","58","","31","","252","44","825"
"","","","","","","","","","","","","","","","",""
