"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Kegale Integrated Rural","","","","","","","","","","","","","","SDR","","1.50  Uplift the living standard of people by promoting income generating activities.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","148.00",""
"","","Development Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Southern Province Rural","","","","","","","","","","","","","","SDR","","27.90  Improve the quality of life and enhance the income generating activities of the people in the 
Southern Province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","564.00",""
"","","Development Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","EIB Contract B","","","","","","","","","","","","","","EUR","","10.00  Rehabilitate Small and Medium Size projects including Tourism and their service sectors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,553.27",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","directly affected by the Tsunami.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Second Perennial Crops","","","","","","","","","","","","","","LKR","","1,200.00  Develop the activities of Perennial Crops sector.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,199.82",""
"","","Development Project -","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Revolving Fund","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Matale Regional Economic","","","","","","","","","","","","","","LKR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","77.00  Expand the Income Level of Rural and Farm Families and provide funds for Medium scale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.00",""
"","","Advancement Project -","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Entrepreneurs to create Non-Farm Enterprises and expand existing projects in the Matale","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Revolving Fund","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","District.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sabaragamuwa Province","","","","","","","","","","","","","","LKR","","100.00  Enhance and create existing/ new income generating activities in the Sabaragamuwa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00",""
"","","Integrated Rural Development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Project - Revolving Fund","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Construction Sector","","","","","","","","","","","","","","EUR","","9.00  Strengthening the Financial and Technical capacities of private local Businesses to effectively","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,399.73",""
"","","Development Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","participate in construction and Public works relating to post Tsunami reconstruction.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sabaragamuwa Province","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","LKR","","70.00  Further enhance and start new Income generating activities in the Sabaragamuwa Province.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.00",""
"","","Integrated Rural Development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Project - Phase II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Poverty Alleviation Micro-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","YEN","","2381.00  Enhance the Living Standard of Households whose monthly income is less than Rs. 15,000.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,213.20",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","finance Project II (Probodini)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Self Employment Promotion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","LKR","","250.00  Provide Financial Assistance to trained Youth who have completed the recognized","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232.39",""
"","","Initiative","","","","","","","","","","","","","","","","Vocational Training to establish self employment income generating activities.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Dry Zone Livelihood Support 
& Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","LKR","","252.95  Provide opportunity to earn more income through Agriculture related activities in Anuradhapura,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","252.95",""
"","","","","","","","","","","","","","","","","","","Moneragala, Kurunegala and Badulla Districts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","National Agribusiness  
Development Programme","","","","","","","","","","","","","","USD","","32.90  Assist Smallholder producers and the Landless Community, especially considering the Youth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.13",""
"","","","","","","","","","","","","","","","","","","to increase the income level through the market/ value chain development and provide","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Finance and Training requirements for those people.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Small Plantation","","","","","","","","","","","","","SDR","","2.60  Enhance the Living Standard of the Low Income Communities in Moneragala, Kandy,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","487.66",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Kegalle and Nuwara-Eliya Districts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Development Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","National Agribusiness","","","","","","","","","","","","","LKR","","1,049.84  Improve Income Level and Social Conditions of Low Income Community","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,049.84",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Development Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(NADeP) - Microfinance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Value Chain Development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","LKR","","135.69  Increase the Production, Productivity, Quality and Value addition of Agriculture Produces.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135.69",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Capital Agriculture Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Scheme under the ""Out","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Grower Farmers Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Scheme"" of the National","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Agribusiness Development 
Programme (NADeP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Value Chain Development","","","","","","","","","","","","","LKR","","302.04  Further enhance the Production, Productivity, Quality and Value addition of Agriculture Produces.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","302.04",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Seasonal Agriculture Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Scheme under the ""Out","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Grower Farmers Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Scheme"" of the National","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Agribusiness Development 
Programme (NADeP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","NADeP - ""Tharuna Diriya"" 
Youth Empowerment and","","","","","","","","","","","","","LKR","","288.48  Reach Village Level Poor Youth to enhance the Skill Levels and Capacity building covering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288.48",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Small Business and other forms of Self-employment Projects.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Employment Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Dry Zone Livelihood Support 
& Partnership Programme-","","","","","","","","","","","","","LKR","","252.90  Enhance Income generating activities in Anuradhapura, Moneragala, Kurunegala and Badulla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","252.89",""
"","","","","","","","","","","","","","","","","","","Districts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Revolving Fund","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Small Farmers and Landless","","","","","","","","","","","","","LKR","","345.69  Promote the intensification of Agricultural Production by Small Farmers and establish of small","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,564.75",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Credit Project -Revolving","","","","","","","","","","","","","","","scale Non-Farming Rural Enterprises.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Fund","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Poverty Alleviation Micro-finance","","","","","","","","","","","","","LKR","","2,764.84  Improve Income Level of Low Income Community and enhance inclusive formal financial services and","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7,016.86",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Project II (Probodini) - Revolving","","","","","","","","","","","","","","","expand Income generating Activities of such People.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Fund","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.85",""
"","","","Partnership Programme (SAPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","4P Capital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","854.05",""
"","","","Partnership Programme (SAPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
