"","","",""
"Type of Approval","","","No. of
Approvals"
"Assessing fitness and propriety for the","","",""
"appointment of new/continuing directors,","","","268"
"CEOs & KMP and persons engaged in foreign","","",""
"","","",""
"exchange business","","",""
"Outsourcing arrangements
Disposal of property below market value","","","32
18"
"Inclusion of debentures in Tier 2 capital","","","8"
"Exceeding maximum amount of","","",""
"","","","5"
"accommodation","","",""
"Abandoned property reimbursements
Acquiring material interest in shareholding","Requests for expatriate staff visa","","1
1"
"","","",""
"","","","20"
"","recommendations/renewals","",""
"Other Approvals","","","149"
"Total","","","502"
