"Instrument
2020
2021","","","","","","","","","","",""
"","","","","Issuances
Rs. billion","WAYR 
(%)","ATM (Years)","No. of 
Auctions","Issuances
Rs. billion","WAYR 
(%)","ATM (Years)","No. of 
Auctions"
"Treasury bills (a)","","","","2,590.5","5.8","0.6","52","3,821.4","6.1","0.5","53"
"","","","","","","","","","","",""
"Treasury bonds","","","","","","","","","","",""
"","","","","1,332.1","7.4","5.3","15","1,762.0","8.7","5.1","22"
"","","","","Issuances
USD million","WAYR 
(%) (b)","ATM (Years)","No. of Auctions","Issuances
USD million","WAYR 
(%)","ATM (Years)","No. of 
Auctions"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Sri Lanka Development 
Bonds","","","","507.0","6.2
[4.2]","1.7","7","1,041.3","7.3","1.5","5"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"WAYR: Weighted Average Yield Rate/ Cost; ATM: Average Time to Maturity
(a) Gross Treasury bill issuance including Treasury bills issued to Central Bank. 
(b) Values in [ ] indicate the WAYR of Spreads above the LIBOR for Floating Rate SLDBs. No floating rate SLDBs were issued in 2021.","","","","","","","","","","",""
