"","","Rs. billion","","Growth (%)","","As a percentage of GDP (%)"
"Item","","","","","",""
"","2019 (c)","2020","2019 (c)","2020","2019 (c)","2020"
"1.  Domestic Demand","15,932.4","15,924.7","3.8","0.0","106.1","106.4"
"1.1   Consumption","11,902.2","12,146.2","7.4","2.1","79.3","81.1"
"Private","10,485.2","10,589.7","7.3","1.0","69.8","70.7"
"Public","1,417.0","1,556.5","8.1","9.8","9.4","10.4"
"1.2  Investment (Gross Capital Formation)","4,030.2","3,778.5","-5.5","-6.2","26.8","25.2"
"2.  Net External Demand","-919.4","-951.7","13.4","-3.5","-6.1","-6.4"
"Exports of Goods and Services","3,472.3","2,483.1","5.5","-28.5","23.1","16.6"
"Imports of Goods and Services","4,391.7","3,434.8","0.9","-21.8","29.3","22.9"
"3.  Total Demand (GDP) (1+2)","15,013.0","14,973.0","5.1","-0.3","100.0","100.0"
"4.  Domestic Savings (3-1.1)","3,110.8","2,826.8","-2.9","-9.1","20.7","18.9"
"Private","3,644.5","4,007.2","8.0","10.0","24.3","26.8"
"Public","-533.7","-1,180.4","-214.4","-121.2","-3.6","-7.9"
"5.  Net Primary Income from Rest of the World (d)","-432.2","-405.2","-10.9","6.3","-2.9","-2.7"
"6.  Net Current Transfers from Rest of the World (d)","1,030.7","1,154.4","3.1","12.0","6.9","7.7"
"7.  National Savings (4+5+6)","3,709.2","3,576.0","-2.7","-3.6","24.7","23.9"
"8.  Savings-Investment Gap","","","","","",""
"Domestic Savings-Investment (4-1.2)","-919.4","-951.7","","","-6.1","-6.4"
"National Savings-Investment (7-1.2)","-321.0","-202.5","","","-2.1","-1.4"
"9.  External Current Account Balance  (2+5+6) (d)","-321.0","-202.5","","","-2.1","-1.4"
"","(a) Based on the GDP estimates (base year 2010) of the Department of Census and Statistics","","","","Sources: Department of Census and Statistics",""
