"","","","","","","","","",""
"","Date","Item","","","Revision","","","",""
"","03.09.2022","Maize (other) and grain sorghum (other)","","","Imposition 
of 
SCL  was 
extended 
until  31 
December 
2022 
(Extraordinary 
Gazette 
Notification No. 2295/44).","","","",""
"","","Maize","","","The 
balance 
amount 
after 
collecting  
Rs. 1 per kg from the applicable SCL of Rs. 10 per 
kg on the importation of maize for the production 
of ‘Thriposha’ by Sri Lanka Thriposha Limited was 
waived off for a period of six months (Extraordinary 
Gazette Notification No. 2295/44).","","","",""
"","","","","","","","","",""
"","22.09.2022","B’Onions","","","SCL  was 
increased 
Rs. 10 per kg for a period of three months with 
effect  from  23  September  2022  (Extraordinary 
Gazette Notification No. 2298/51).","","to  Rs.  50  per  kg 
from","",""
"","","Salt","","","The 
balance 
amount 
Rs.  10  per  kg 
from 
Rs.  40  per  kg  on  importation  of  salt  by  any 
pharmaceuticals 
registered with the National Medicines Regulatory 
Authority 
for 
pharmaceuticals,  not  for  commercial  purpose, 
on 
the 
recommendation 
Ministry 
waived  off  until  11  August  2023  commencing 
from 23 September 2022 (Extraordinary Gazette 
Notification No. 2298/51).","","after 
collecting  
the  applicable  SCL  of 
manufacturing 
enterprise, 
the  purpose  of  manufacturing","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","of 
the 
Secretary, 
in  charge  of  subject  of  Health,  was","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","13.10.2022","Fish (fresh, chilled or frozen)","","","SCL 
was 
increased 
Rs. 400 per kg from 10 per cent or Rs. 200 per kg, 
the amount of levy whichever is higher, for a period 
of one year (Extraordinary Gazette Notification No. 
2301/40).","","to 
10 
per 
cent 
or","",""
"","","Maldive 
fish,  green  gram 
(moong), 
red and yellow lentils (whole and split), 
mangosteens, and kiwifruit","","","Imposition  of  SCL  was  extended  for  a  period  of 
one  year,  commencing  from  14  October  2022","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","(Extraordinary Gazette Notification No. 2301/40).","","","",""
"","","Mackerel, Jack and Horse Mackerel","","","The 
balance 
amount 
Rs.  6  per  kg  from  the  applicable  SCL  of  10 
per  cent  of  Rs.  400  per  kg  on  the  importation 
of  Mackerel 
classified  under 
of  0303.54  and 
classified under the HS Code of 0303.55, which 
are classified under the HS Heading of 03.03 for 
the  production  of  canned  fish  by  local  canned 
fish  manufacturers,  on  the  recommendation  of 
the  Secretary,  Ministry  in  charge  of  subject  of 
Fisheries, was waived off (Extraordinary Gazette 
Notification No. 2301/40).","","after 
collecting  
the  HS  Code 
Jack  and  Horse  Mackerel","",""
"","","","","","","","","",""
