"Date
Measure","","","","","","","","","","","","","","","","","","","","","","","","",""
"30 Jan 2020
SDFR and SLFR reduced by 50 basis points to 6.50% and 
7.50%, respectively.
17 Mar 2020
SDFR and SLFR reduced by 25 basis points to 6.25% and 
7.25%, respectively.
17 Mar 2020
SRR reduced by 1.00 percentage point to 4.00% to be effective 
from the reserve period commencing 16 March 2020.","","","","","","","","","","","","","","","","","","","","","","","","",""
"27 Mar 2020
Introduced 
COVID-19 Renaissance Facility (Phase I - Refinance Scheme), up 
to a cumulative value of Rs. 50 billion at an interest rate of 4.00% 
to support the businesses and individuals affected by COVID-19.
03 Apr 2020
SDFR  and  SLFR  reduced  by  25  basis  points 
to  6.00% 
and  7.00%,  respectively,  to  be  effective  from  the  close  of 
business on 03 April 2020.
06 May 2020
SDFR  and  SLFR  reduced  by  50  basis  points 
to  5.50% 
and  6.50%,  respectively,  to  be  effective  from  the  close  of 
business on 06 May 2020. 
16 Jun 2020
SRR  reduced  by  2.00  percentage  points  to  2.00%  to  be 
effective from the reserve period commencing 16 June 2020.
16 Jun 2020
Extended the concessional loan scheme introduced on 27 
March  2020  up  to  Rs.  150  billion  at  an  interest  rate  of 
4.00% to support the businesses and individuals affected by 
09 Jul 2020
19 Aug 2021
19 Aug 2021
20 Jan 2022
04 Mar 2022
07 Mar 2022
08 Apr 2022
12 May 2022
07 Jul 2022
02 Jan 2023
03 Mar 2023
03 Mar 2023","","","","","a 
concessional","","","","","","","","loan 
scheme, 
the 
Saubagya","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","COVID-19  (the Saubagya COVID-19 Renaissance Facility","","","","","","","","","","","","","","","","","","","","","",""
"","","","- Phase II)","","","","","","","","","","","","","","","","","","","","","",""
"","","","SDFR and SLFR reduced by 100 basis points to 4.50% and","","","","","","","","","","","","","","","","","","","","","",""
"","","","5.50%, respectively.","","","","","","","","","","","","","","","","","","","","","",""
"","","","SDFR and SLFR increased by 50 basis points to 5.00% and 
6.00%, respectively.","","","","","","","","","","","","","","","","","","","","","",""
"","","","SRR increased by 2.00 percentage points to 4.00% to be effective 
from the reserve period commencing 01 September 2021.","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SDFR and SLFR increased by 50 basis points to 5.50% and 
6.50%, respectively. 
SDFR and SLFR increased by 100 basis points to 6.50% and 
7.50%, respectively.
A measured adjustment was allowed in the exchange rate.
SDFR  and  SLFR  increased  by  700  basis  points  to  13.50%","","","","","","","","","","","","","","","","","","","","","",""
