"Date","Item","Revision"
"","Selected medicines including tablets/capsules, injections","MRPs were increased"
"","",""
"29.04.2022","","(Extraordinary Gazette Notification"
"","and medicines used for inhalation",""
"","","No. 2277/55)"
"","White/ Red Nadu - Steamed/ Boiled – Local (excluding 
Mottaikarupan and Attakari)","Imposed a MRP of Rs.220 per kg"
"","","(Extraordinary Gazette Notification"
"","","No. 2278/02)"
"","White/ Red Samba - Steamed/ Boiled – Local (excluding","Imposed a MRP of Rs. 230 per kg"
"","",""
"02.05.2022","","(Extraordinary Gazette Notification"
"","Suduru Samba)",""
"","","No. 2278/02)"
"","Keeri Samba (local)","Imposed a MRP of Rs. 260 per kg"
"","","(Extraordinary Gazette Notification"
"","","No. 2278/02)"
"10.06.2022","White/Red Raw Rice (local)","Imposed a MRP of Rs. 210 per kg"
"","","(Extraordinary Gazette Notification 
No. 2283/43)"
"19.08.2022","Egg (white)","Imposed a MRP of Rs. 43 per egg"
"","","(Extraordinary Gazette Notification"
"","","No. 2293/69)"
"","Egg (brown/red)","Imposed a MRP of Rs. 45 per egg"
"","","(Extraordinary Gazette Notification"
"","","No. 2293/69)"
"01.09.2022","Selected medical devices including Intraocular Lenses/",""
"","Lenses  with  Delivery  System,  bare  metal  stent,  drug","MRPs were increased"
"","",""
"","eluting stent, Blood Glucose Monitoring System, Pulse","(Extraordinary Gazette Notification"
"","Oximeter, etc.","No. 2295/18)"
"20.01.2023","Egg (white)","Imposed  a  MRP  of  Rs.  44  per"
"","",""
"","","white  egg  (Extraordinary  Gazette"
"","","Notification No. 2315/57)"
"","",""
"","Egg (brown)","Imposed  a  MRP  of  Rs.  46  per"
"","","brown  egg  (Extraordinary  Gazette"
"","","Notification No. 2315/57)"
