"Rs. million","","","","","","","","",""
"Item
2019
2020
2021 (b)
2022 (c) (d)","","","","","","","","",""
"13,031,543
15,117,247
17,614,181
Total Government Debt
6,830,260
9,065,068
11,097,223
Domestic Debt (e)
 By Maturity Period
Short Term (f)
1,270,374
2,197,594
3,139,794
Medium and Long Term (e)(g)
5,559,887
6,867,473
7,957,430
Other Domestic (h)
n.a
n.a
n.a
 By Institution (i)
Bank (i)
2,737,223
4,542,155
5,247,919
Non Bank (i) 
3,825,703
4,210,099
4,822,098
Repurchase Transaction Allocations (j) (k)
267,334
312,814
1,027,207
Foreign Debt (l) (m)
Multilateral
Bilateral and Commercial
4,731,415
4,450,697
4,621,618
Of which;
International Sovereign Bonds
Foreign Currency Term Financing Facility
23,727
670
204
Non Resident Investment in Treasury Bills
80,294
6,204
1,710
Non Resident Investment in Treasury Bonds
By Currency
SDR
927,372
970,714
989,442
US Dollars
4,076,588
3,875,950
4,295,194
Japanese Yen
624,956
664,291
623,206
Euro
228,713
251,406
240,974
Other
343,653
289,818
368,142","","","","","","","","27,492,031
15,033,876",""
"","","6,201,283
6,052,179
6,516,958
1,469,867
1,601,482
1,895,340","","","","","","4,267,724
9,882,058
884,093
8,525,718
6,164,063
344,096",""
"","","","","","","","","12,458,155",""
"","","","","","","","","3,611,552",""
"","","","","","","","","8,846,603",""
"","","","","","2,531,493
2,203,279","","2,243,049","3,921,587",""
"","","","","","242,191","279,612","445,521","","797,589"
"","","","","","","","","12,476
13,078
1,604,694
8,716,938
979,567
417,406
739,550",""
"81.9
96.5
100.1
113.8
Central Government Debt/GDP (n)","","","","","","","","",""
"Memorandum Items
Total Exchange Rate Variation
12,401
355,663
499,681
On Foreign Debt
On Foreign Currency Denominated Domestic Debt","","","","","","","","5,617,220",""
"","","","","","16,857
-4,456","329,895","473,796","5,262,420",""
"","","","","","","25,767","25,884","","354,800"
"","","","","","","","","",""
"(a) As per the guidelines of compiling government debt statistics in the Manual of Government Finance Statistics published by the IMF in 2014, 
Sources: Ministry of Finance, 
Economic stabilisation 
non resident holdings of outstanding SLDBs have been classified under foreign debt and resident holdings of outstanding ISBs of the Sri Lankan 
and National Policies
Government have been classified under domestic debt.
Central Bank of Sri Lanka
(b)  Revised        
(c)  Provisional 
(d)  The outstanding central government debt excludes several debt service payments that became overdue after 12 April 2022, the date of which the 
Interim Policy regarding the servicing of Sri Lanka’s external public debt was announced by the Ministry of Finance, Economic Stabilisation and National 
Policies.  These debt service payments comprise of overdue interest payments of affected debt which deemed to be capitalised as per the Interim Policy, 
and several overdue interest payments in relation to SLDBs.
(e)  Includes  Government  Treasury  bonds  of  Rs.  78,441  million  issued  for  CPC  in  January  2012  of  which  Rs.  21,778  million  matured  on  
01 January  2017 and  Rs. 25,217 million matured on 01 January 2022 and the current outstanding is Rs. 31,446 million
(f)   Excludes Treasury bills held by non resident investors 
(g)  Excludes Treasury bonds held by non resident investors 
(h)  Includes outstanding balance of the government guaranteed foreign currency debt of the Ceylon Petroleum Corporation that was absorbed into 
central government debt w.e.f. December 2022, which amounted to Rs. 884,093.4 million
(i)   Institution wise classification was revised in the Annual report 2022 based on the records of the Central Depository System and the data for  
2019-2021 have been revised accordingly.
(j)   Includes security holdings under Repurchase agreements for which absolute ownership could not be established 
(k)  Holdings under repurchase transactions with respect to Open Market Operations, have been allocated to the respective Licensed Commercial 
Bank or Standalone Primary Dealer only in the year 2022.
(l)   Foreign loan debt statistics and classification of foreign debt for 2021 and 2022 are prepared based on the data sourced from the Commonwealth 
Secretariat Debt Recording and Management System (CS-DRMS) maintained by the Ministry of Finance, Economic Stabilisation and National 
Policies, and extracted on 09 and 10 March 2023
(m) From December 2022 onwards, several outstanding project loans which were previously classified under Ceylon Electricity Board, Airport and  
Aviation Services Ltd. and Sri Lanka Ports Authority were absorbed into central government debt.
(n)  GDP estimates (base year 2015) released by the Department of Census and Statistics on 15 March 2023 have been used.","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
