"","","PHYSICAL, SOCIAL AND FINANCIAL INFRASTRUCTURE FACILITIES","","",""
"","Unit","2020","","Unit","2020"
"Transport","","","Water Supply & Sanitation","",""
"Length of national roads (A & B)","km","12,224","Access to safe drinking water","per cent","93.2"
"Length of expressways","km","271.7","Access to pipe borne water","per cent","53.1"
"Length of operating railway track","km","1,648","","",""
"Electricity","","","General Education","",""
"Electrification level (2016)","per cent","99.3","Area covered by a school (h)","sq. km.","6.5"
"Per capita electricity consumption","kWh","651.8","Student/teacher ratio (h)","number","16.0"
"Communication","","","Age specific enrolment ratio (grade 1-9) (2019)","per cent","94.8"
"Telephone penetration","","","Primary net enrolment ratio (2019)","per cent","91.1"
"Fixed lines","per 100 persons","11.9","","",""
"Including cellular phones","per 100 persons","143.0","University Education (i)","",""
"Internet penetration (f)","per 100 persons","79.9","Student/teacher ratio","number","18.9"
"Average population served","","","Age specific enrolment ratio","",""
"by a post office","number","5,223","(age 19-23 yrs) (j)","per cent","8.2"
"Financial Infrastructure","","","Progression to university from GCE (A/L)","",""
"Banks","","","Eligible for university admission","per cent","62.4"
"Branches of LCBs (g)","number","2,916","","",""
"","","","Admission as a percentage of eligible (estimates)   per cent","","22.5"
"Branches of LSBs (g)","number","703","","",""
"","","","","Government expenditure on education (2019) (k)   per cent of GDP","1.9"
"Credit cards in use","per 100,000 persons","9,054","","",""
"Banking density","branches per 100,000","","","",""
"","","","Public Health","",""
"","persons","17","","",""
"","","","Hospital beds","per 1,000 persons","3.5"
"Other financial institutions","","","","",""
"","","","Persons per doctor","number","1,117"
"Branches of LFCs","number","1,459","","",""
"","","","Nurses","per 10,000 persons","17.2"
"Branches of SLCs","number","58","","",""
"Branches of LMFCs","number","114","Government expenditure on health (2019)","per cent of GDP","1.6"
"ATMs, CRMs and CDMs","per 100,000 persons","32","","",""
