"","","",""
"Type of Approval","","","No. of
Approvals"
"Assessing fitness and propriety for the","","",""
"appointment of new/continuing directors,","","","304"
"CEOs & KMPs and persons engaged in foreign","","",""
"","","",""
"exchange business","","",""
"Outsourcing arrangements
Disposal of property below market value","","","18
21"
"Inclusion of debentures in Tier 2 capital","","","5"
"Exceeding maximum amount of","","",""
"","","","4"
"accommodation","","",""
"Abandoned property reimbursements
Acquiring material interest in shareholding","Requests for expatriate staff visa","","7
4"
"","","",""
"","","","15"
"","recommendations/ renewals","",""
"Other Approvals
Total","","","82
460"
"","","",""
