"Item","2019","","2020(a) Change","",""
"","","","","",""
"","","","","",""
"","","","","(%)",""
"Total value of the Fund (Rs.bn)","2,540.4","2,824.3","11.2","",""
"","","","","",""
"Total liability to members (Rs.bn)","2,497.6","2,767.8","10.8","",""
"Total number of member accounts (mn)","19.4","19.4","-","",""
"Contributing member accounts (mn)
  Non-contributing member accounts (mn)
Total contributions (Rs.bn)","2.9 
 16.5 
157.2","2.0 
 17.4 
150.7","(31.0) 
 5.5  
(4.1)","",""
"","","","","",""
"","","","","",""
"Total refunds (Rs. bn)","126.3","109.7","(13.1)","",""
"Net contribution (Rs.bn)
Number of refunds","30.9 
241,581","41.0 
197,401","32.6 
(18.3)","",""
"","","","","",""
"(a) Provisional                         Source: EPF Department, Central Bank of Sri Lanka","","","","",""
