"Amounts in Rs. mn
Information on the Lending Programme/Concessionary Credit Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refi-","","","","","","","","","Interest","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rate to","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","nance/","","","","","Funds Disbursed","","the End","","","","","","","","","",""
"Funds","","Name","","","","","","","","","Objective","","","","","","","","","","","","","","","","","","","","","","Interest 
Subsidy","","","","","in 2020","","Borrower","","","Remarks","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","– Year","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","End (p.a)","","","","","","","","","",""
"","","Poverty Alleviation Microfinance 
Project – Revolving Fund  (PAMP-RF)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","Poverty alleviation through promotion of","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 133.78 million","","","12%","","","","","","","","","",""
"","","","","","","","","","","","income generating activities and organizing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","low income groups to link them with formal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","banking system.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","‘Swashakthi” Loan Scheme","","","","","","","","","Generate employment opportunities, for 
both new entrants and existing entrepreneurs 
engaged in income generating activities 
MSME Sectors.","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","","","","5.5%","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rs. 300.49 million","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Self-Employment Promotion Initiative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","To provide financial assistance to youth","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 81.04  million","","","7%","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Loan Scheme (SEPI) Phase II","","","","","","","","","trained by recognized vocational training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","institutions for establishment of their own self-
employment projects.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SAPP – RF Income Generation Loan 
Scheme","","","","","","","","Contribute to Sri Lanka’s smallholders’ 
poverty reduction, increase competitiveness","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 3.55  million","","","6.5%","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","while enhancing the quality of diet of 
smallholders involved in commercially","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GOSL","","","","","","","","","","","oriented production & marketing systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Funded","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Supply Chain Re-Energizing Loan 
Scheme (SCRELS)","","","","","","","","To reenergize the Tea supply chain by 
supporting existing tea manufactures to","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 141  million","","","3.5%","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","revamp their businesses.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","“Sarusara”- New Comprehensive Rural","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","Uplifting the socioeconomic conditions of 
micro and small-scale farmers who engage","","","","","","","","","","","","","","","","","","","","","","","Interest","","","Rs. 7,441.45 million","","","4%","","","PFIs own funds","","","","","","",""
"","","Credit Scheme (NCRCS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Subsidy","","","","","","","","","and Interest","","","","","","",""
"","","","","","","","","","","","in cultivation of paddy and short-term crops 
including home gardening.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","& Credit","","","","","","","","","Subsidy by","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Guarantee","","","","","","","","","","GOSL","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","To provide concessionary financial facilities","","","","","","","","","","","","","","","","","","","","","","Interest","","","","Rs. 89.35 million","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7%","","","PFIs own funds","","","","","","",""
"","","Smallholder Tea and Rubber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Revitalization (STaRR) Interest Subsidy 
Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","for the smallholder farmers involved in STaRR 
Project, who experience delays in income","","","","","","","","","","","","","","","","","","","","","","Subsidy","","","","","","","","","","and Interest","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","generation from replanted and new planted","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Subsidy by","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","tea and rubber plantations, by supporting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GOSL","","","","","","",""
"","","","","","","","","","","","them to establish a self-employment or a 
short-term income generating activity until 
such time the income is generated from their 
replanted or new planted plantations.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Credit Guarantee Scheme for Working","","","","","","","","To provide access to finance for the SMEs 
whose previous loans are in the Non-","","","","","","","","","","","","","","","","","","","","","","Credit","","","","Rs. 294.25 million","","","2%","","","Loans provided","","","","","","",""
"","","","Capital Loans (CGWCL)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Guarantee","","","","","","","","","","by the PFIs using","","","","","","",""
"","","","","","","","","","","","Performing Loan (NPL) Category.","","","","","","","","","","","","","","","","","","","","","","Scheme","","","","","","","","","","their own funds","","","","","","",""
