"","","","","","","","","","",""
"","Fair value is the price that would be received to sell an 
the Bank used calibrations in the forward looking macro-
asset or paid to transfer a liability in an orderly transaction 
economic data used in the expected credit loss model to 
between  market  participants  at  the  measurement  date. 
avoid unprecedented statistical variations caused by the 
The fair value measurement is based on the presumption 
movements in the macro- economic data resulting from 
that the transaction to sell the asset or transfer the liability 
COVID-19.
takes place either:
However, for non-financial assets, the Bank’s assessment 
	
•	
In	the	principal	market	for	the	asset	or	liability,	or
is  that  COVID-19  related  conditions  had  no  impact  on 
	
•	
In	the	absence	of	a	principal	market,	in	the	most	
the  carrying  values  and  was  appropriately  assessed  in 
advantageous market for the asset or liability
the financial statements for the year ended 31 December 
2020.  
The principal or the most advantageous market must be 
accessible by the Bank.
4. 
CHANGES TO SIGNIFICANT ACCOUNTING 
The  fair  value  of  an  asset  or  a  liability  is  measured 
POLICIES
using  the  assumptions  that  market  participants  would 
use  when  pricing  the  asset  or  liability,  assuming  that 
There  were  no  changes  to  the  accounting  policies  and 
market  participants  act  in  their  economic  best  interest. 
accounting policies adopted are consistent with those of 
A fair value measurement of a non-financial asset takes 
the previous financial year.","","","","","","","","",""
"","into  account  a  market  participant’s  ability  to  generate 
economic  benefits  by  using  the  asset  in  its  highest  and 
best use or by selling it to another market participant that 
5. 
SIGNIFICANT ACCOUNTING POLICIES
would use the asset in its highest and best use.
5.1 
Foreign Currency Translations and Balances
The Bank uses valuation techniques that are appropriate 
in  the  circumstances  and  for  which  sufficient  data  are 
Transactions  in  foreign  currencies  are  translated  to  Sri 
available  to  measure  fair  value,  maximizing  the  use  of 
Lankan Rupees at the rate of exchange prevailing at the 
relevant  observable 
inputs  and  minimizing 
the  use  of 
dates of the transactions. Monetary assets and liabilities 
unobservable inputs.
denominated 
in 
foreign 
currencies  at 
the 
reporting 
date  are  translated  to  Sri  Lankan  Rupees  at  the  rate  of 
All assets and liabilities for which fair value is measured or 
exchange  prevailing  at  the  reporting  date.    The  foreign 
disclosed in the financial statements are categorised within 
currency  translation  gain  or  loss  on  monetary  items  are 
the  fair  value  hierarchy,  described  as  follows,  based  on 
taken  to  the  Statement  of  Income.  For  the  purposes  of 
retranslation,  as  at  the  reporting  date,  the  following  Sri 
Lankan Rupee exchange rates for major currencies were","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","the  lowest  level  input  that  is  significant  to  the  fair  value 
measurement as a whole:","","","",""
"","","","","","","Level 1 —   Quoted (unadjusted) market prices in active","","","",""
"","used:","","","","","","","","",""
"","","","","","","markets for identical assets or liabilities","Level 2 —  
Valuation  techniques  for  which  the  lowest 
level 
input 
that 
is  significant 
to 
the 
fair","","",""
"","","Currency","2020
Rs.","","","2019
Rs.","","","",""
"","1 Australian Dollar
143.4225
1 Canadian Dollar
146.4840
1 Euro
227.7256
1 Japanese Yen
1.8055
1 Special Drawing Rights (SDR)
272.6200
1 Sterling Pound
254.8200
1 United States Dollar
186.4082
1 Chinese Yuan (Offshore)
28.6661","","","","","value  measurement  is  directly  or  indirectly 
127.5343
observable.
139.8206
Level 3 —  
Valuation  techniques  for  which  the  lowest 
203.6571
level input that is significant to the fair value 
1.6724
measurement is unobservable.
250.7887
For  assets  and 
liabilities 
that  are 
recognised 
in 
the 
240.7922
financial  statements  on  a 
recurring  basis, 
the  Bank 
181.634
determines  whether 
transfers  have  occurred  between 
26.0905
Levels 
in 
the  hierarchy  by  re-assessing  categorisation","","","",""
"","Non-monetary 
items 
that  are  measured 
in 
historical cost in a foreign currency are translated using 
the exchange rate at the date of the transaction.
5.2 
Fair Value Measurement
The Bank measures financial instruments, such as, foreign 
securities,  derivatives,  and  non-financial  assets  such  as 
Gold, at fair value at each reporting date. The fair values 
of financial instruments measured at amortised cost are 
disclosed in Note 50.","","","","","(based on the lowest level input that is significant to the 
terms  of 
fair value measurement as a whole) at the end of each 
reporting period.
5.3 
Financial Assets and Financial Liabilities
The Bank presents financial assets and liabilities, and the 
associated income and expense streams, by distinguishing 
between foreign currency and local currency activities.
Foreign  currency  activities  mainly  arise  from  the  Bank’s 
foreign  reserves  management  function.    Local  currency","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
