"Types of Approvals","","","","","","","","","No. of Approvals
Processed
Granted",""
"Opening and Installation 
  Branches
  Self Service Machines (SSMs)
  Student Saving Units (SSUs)
  Mobile Banking Units and Vehicles
  Other Banking Outlets 
  Agents of Licensed Banks 
Relocation","","","","","","","","","981","944"
"","","","","","","","","","27","20"
"","","","","","","","","","",""
"","","","","","","","","","113
47
98
12","95
47
97
4"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","684","681"
"","","","","","","","","","128","113"
"Branches
  Self Service Machines (SSMs)
Closures and cancellation of","","","","","","","","","101
27","97
16"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","approvals granted for branches","","","","","","","","6","5"
"","","","","","","","","","",""
"","and other service outlets","","","","","","","","",""
"","","","","","","","","","",""
"Discontinuation and cancellation","","","","","","","","","",""
"of approvals granted for ATMs","","","","","","","","","46","41"
"","","","","","","","","","",""
"","","","","","","","","","",""
"and Other Automated Machines","","","","","","","","","",""
"","","","","","","","","","",""
"Discontinuation and cancellation","","","","","","","","","",""
"of approvals granted for Agents 
of licensed banks
Total","","","","","","","","","90","90"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","1,251","1,193"
"","","","","","","","","","",""
