"","CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2022","","","","","",""
"","","Table 2.15","","","","","force 
to 
the  household  population,  decreased"
"","Province-wise Population and Density (a)(b)","","","","","",""
"","","","","","","","marginally  to  49.8  per  cent  in  2022,  compared  to"
"","","2021","","","2022","",""
"","","","","","","","49.9 per cent in 2021. The male LFPR recorded a"
"","Population","","","Population","","",""
"Province","","","","","","",""
"","‘000","","Density","‘000","","Density","decline to 70.5 per cent in 2022 from 71.0 per cent"
"","Persons","","","Persons","","",""
"Western","6,219","","1,731","6,209","","1,728","in  the  previous  year,  while  on  a  positive  note  the"
"Central","2,811","","504","2,812","","504",""
"","","","","","","","female  LFPR  increased  to  32.1  per  cent  in  2022"
"Southern","2,696","","501","2,702","","502",""
"Northern","1,165","","141","1,173","","141","from  31.8  per  cent  in  the  previous  year.  Further,"
"Eastern","1,783","","190","1,788","","191",""
"","","","","","","","the gender gap in LFPR narrowed to 38.4 per cent"
"North Westen","2,592","","345","2,592","","345",""
"North Central
2","1,402","","144","1,406","","144","in 2022, compared to the 39.2 per cent recorded in"
"Uva","1,400","","168","1,408","","169",""
"","","","","","","","the previous year."
"","","","","","","",""
"Sabaragamuwa","2,088","","424","2,091","","425",""
"Total","22,156","","353","22,181","","354",""
"(a)  Provisional","","","","Source: Registrar General’s Department","","",""
