"","Household Population, Labour Force and Labour Force Participation (a)","","","","",""
"","","","","2022 (b)","",""
"Item","2021","","","","",""
"","","Q1","Q2","Q3","Q4","Annual"
"Household Population '000 Persons","17,134","17,105","17,126","17,186","17,230","17,162"
"Labour Force '000 Persons","8,553","8,762","8,576","8,430","8,421","8,547"
"Employed","8,114","8,389","8,177","8,010","8,015","8,148"
"Unemployed","440","373","399","419","406","399"
"Labour Force Participation Rate (c)","49.9","51.2","50.1","49.0","48.9","49.8"
"Male","71.0","71.8","70.9","70.4","69.0","70.5"
"Female","31.8","33.6","32.1","31.0","31.6","32.1"
"(a) Household population aged 15 years and above","","","","","Source: Department of Census and Statistics",""
