"","","Rs. million","Growth (%)","","","As a per cent of GDP (%)",""
"Item","","","","","","",""
"","2020 (c)","2021","2020 (c)","2021","2020 (c)","2021",""
"1.  Gross Domestic Product at Market Price","15,027,374","16,809,309","0.2","11.9","100.0","100.0",""
"2.  Consumption Expenditure","12,214,284","13,425,152","2.0","9.9","81.3","79.9",""
"Private","10,661,955","11,814,865","1.0","10.8","71.0","70.3",""
"Government","1,552,329","1,610,287","9.9","3.7","10.3","9.6",""
"3.  Investment","3,779,064","4,655,829","-4.2","23.2","25.1","27.7",""
"4.  Domestic Savings","2,813,090","3,384,158","-7.0","20.3","18.7","20.1",""
"Private","3,993,489","4,674,599","12.2","17.1","26.6","27.8",""
"Government","-1,180,399","-1,290,441","-121.2","-9.3","-7.9","-7.7","2"
"","","","","","","",""
"5.  Domestic Savings - Investment Gap","-965,975","-1,271,672","-5.1","-31.6","-6.4","-7.6",""
"6.  Net Primary Income from Rest of the World","-423,063","-406,605","4.2","3.9","-2.8","-2.4",""
"7.  Net Current Transfers from Rest of the World (d)","1,150,789","1,030,321","11.7","-10.5","7.7","6.1",""
"8.  National Savings","3,540,816","4,007,874","-2.1","13.2","23.6","23.8",""
"(a)  Based on the GDP estimates (base year 2010)","","","","Sources: Department of Census and Statistics","","",""
