"2.","","Manufacturing","Energy saving machinery/
equipment","","","","",""
"","","","Other Sustainable Manufacturing","","","","",""
"","","","","","","","",""
"3.","","Electric power","Renewable energy projects","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","generation, transmission 
and distribution","Other Sustainable Activities","","","","",""
"4.","","Transportation and 
storage","All forms of sustainable 
Transportation and storage","","","","",""
"5.","","Water supply, sewerage 
and waste management","Water supply/management projects
Waste management projects
Other Sustainable Activities","","","","",""
"","","","","","","","",""
"6.","","Construction","Green construction projects
Other Sustainable Activities","","","","",""
"","","","","","","","",""
"7.","","Sustainable tourism and 
recreation","All sustainable tourism and 
recreation activities","","","","",""
"8.","","Other Sectors","Gas, steam and air conditioning 
supply","","","","",""
"","","","Financial Services","","","","",""
"","","","Information and communications 
technology","","","","",""
"","","","Sustainable Women empowerment 
initiatives, if not covered under any 
other area","","","","",""
"","","","Other Sustainable Lending (Please 
Specify)","","","","",""
"","","","","","","","",""
"","","","Total","","","","",""
