"No.","HS code"
"121","24031990"
"122","24039190"
"123","24039990"
"124","33030010"
"125","33030021"
"126","33030022"
"127","33030029"
"128","330410"
"129","330420"
"130","330430"
"131","330491"
"132","330499"
"133","330510"
"134","330520"
"135","330530"
"136","330590"
"137","330610"
"138","330690"
"139","330710"
"140","330720"
"141","330730"
"142","330749"
"143","33079090"
"144","34011920"
"145","34012010"
"146","34013020"
"147","34029010"
"148","340510"
"149","340520"
"150","340530"
"151","34054010"
"152","34054090"
"153","340590"
"154","340600"
"155","38070010"
"156","38140010"
"157","38140090"
"158","381900"
"159","39262020"
"160","39262090"
"161","401519"
"162","401590"
"163","401691"
"164","401694"
