"No.","HS code"
"473","640359"
"474","640391"
"475","640399"
"476","640411"
"477","640419"
"478","640420"
"479","640510"
"480","640520"
"481","640590"
"482","650100"
"483","650200"
"484","650400"
"485","65050010"
"486","65050090"
"487","65061090"
"488","65069110"
"489","65069190"
"490","65069910"
"491","65069990"
"492","650700"
"493","660110"
"494","660191"
"495","660199"
"496","670300"
"497","670411"
"498","670419"
"499","670420"
"500","670490"
"501","691110"
"502","69120010"
"503","69120090"
"504","69139090"
"505","701310"
"506","701322"
"507","701328"
"508","701333"
"509","701337"
"510","701341"
"511","701342"
"512","701349"
"513","701391"
"514","70139990"
"515","701810"
"516","701820"
