"No.","HS code","","No.","HS code"
"20","08023190","","39","081400"
"21","08028090","","40","090121"
"22","08041010","","41","090122"
"23","08041020","","42","09022019"
"24","08051010","","43","09022093"
"25","08052110","","44","09022099"
"26","080610","","45","100490"
"27","080620","","46","110412"
"28","080810","","47","110419"
"29","080830","","48","110422"
"30","080940","","49","110423"
"31","081050","","50","110429"
"32","08109090","","51","110430"
"33","081120","","52","110510"
"34","081190","","53","110520"
"35","081320","","54","110710"
"36","081330","","55","110720"
"37","08134090","","56","110814"
"38","081350","","57","110900"
