"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Value Chain Development","","","","","","","","","","","","LKR","","302.04  Further enhance the Production, Productivity, Quality and Value addition of Agriculture Produces.","","","","","","","","","","","","","","","","","","","","","","302.04","","","",""
"","","","Seasonal Agriculture Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Scheme under the ""Out","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Grower Farmers Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Scheme"" of the National","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Agribusiness Development 
Programme (NADeP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","NADeP - ""Tharuna Diriya"" 
Youth Empowerment and","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","LKR","","288.48  Reach Village Level Poor Youth to enhance the Skill Levels and Capacity building covering","","","","","","","","","","","","","","","","","","","","","","288.48","","","",""
"","","","","","","","","","","","","","","","","","","","","Small Business and other forms of Self-employment Projects.","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Employment Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Dry Zone Livelihood Support 
& Partnership Programme-
Revolving Fund","","","","","","","","","","","","","LKR","","252.90  Enhance Income generating activities in Anuradhapura, Moneragala, Kurunegala and Badulla","","","","","","","","","","","","","","","","","","","","","","252.89","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","Districts.","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Small Farmers and Landless","","","","","","","","","","","","","LKR","","345.69  Promote the intensification of Agricultural Production by Small Farmers and establish of small","","","","","","","","","","","","","","","","","","","","","","1,564.75","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Credit Project -Revolving Fund","","","","","","","","","","","","","","","","","","scale Non-Farming Rural Enterprises.","","","","","","","","","","","","","","","","","","","","","","",""
"","","Poverty Alleviation Micro-finance","","","","","","","","","","","","","LKR","","2,764.84  Improve Income Level of Low Income Community and enhance inclusive formal financial services and","","","","","","","","","","","","","","","","","","","","","","7,016.86","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Project II (Probodini) - Revolving","","","","","","","","","","","","","","","","","expand Income generating Activities of such People.","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Fund","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.85","","","",""
"","","","Partnership Programme (SAPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
