"Column I","Column II","Column III"
"section of this Act","section of the principal enactment","Date of operation"
"3","10","01.04.2021"
"7","18","01.04.2021"
"8","19","01.04.2018"
"9","46","01.04.2021"
"10","54","01.04.2018"
"12","69","01.04.2018"
"13","72","01.04.2018"
"14","73","01.04.2018"
"15","83A","01.01.2023"
"16","84A","01.01.2023"
"17","85","01.01.2023"
"19","88","01.01.2023"
"20","90","01.04.2021"
"29","139","01.04.2023"
"35(2)","195","01.04.2020"
"36(1) and (7)","subparagraph (1C) of paragraph 1 and 
paragraph 11 of the First Schedule","01.04.2023"
"38(6) and (7)","paragraph  (u)  and  (w)  of  the  Third 
Schedule","31.03.2023"
"39(1)","subparagraph (e) of paragraph
(1) of the Fifth Schedule","01.04.2021"
