"No.","HS code"
"517","701890"
"518","732111"
"519","732112"
"520","732119"
"521","732181"
"522","732182"
"523","732189"
"524","732310"
"525","732391"
"526","732392"
"527","732393"
"528","732394"
"529","732399"
"530","73241010"
"531","73241090"
"532","732421"
"533","732429"
"534","732490"
"535","74181090"
"536","741820"
"537","76151020"
"538","76151090"
"539","76152090"
"540","821000"
"541","821110"
"542","821191"
"543","821192"
"544","821194"
"545","82121010"
"546","82121090"
"547","82122090"
"548","821300"
"549","821410"
"550","821420"
"551","821490"
"552","821510"
"553","821520"
"554","821599"
"555","830300"
"556","830621"
"557","830629"
"558","830630"
"559","841451"
"560","841459"
