"Type of Approval","","","No. of
Approvals"
"","","",""
"Assessing fitness and propriety for the","","",""
"appointment of new/continuing directors,","","","185"
"CEOs & KMP and persons engaged in foreign","","",""
"","","",""
"exchange business","","",""
"Outsourcing arrangements
Disposal of property below market value","","","19
20"
"Inclusion of debentures in Tier 2 capital","","","3"
"Exceeding maximum amount of","","",""
"","","","1"
"accommodation","","",""
"Abandoned property reimbursements","Requests for expatriate staff visa","","1"
"","","",""
"","","","17"
"","recommendations/renewals","",""
"Other Approvals","","","37"
"Total","","","283"
