"Identified Sectors","Prioritized Sub Sectors"
"Agriculture, forestry and logging","Sustainable agriculture, forestry 
development"
"Manufacturing","Energy saving machinery/ equipment"
"",""
"Electric power generation, 
transmission and distribution","Renewable energy projects"
"",""
"Transportation and storage","All forms of sustainable transport and 
storage"
"Water supply, sewerage and waste 
management","Water supply/management projects, 
Waste management projects"
"",""
"Construction","Green construction projects"
"Sustainable Tourism and recreation","All sustainable tourism and 
recreational activities"
"Other Sectors","Gas, steam and air conditioning 
supply, Financial Services, Information 
and communications technology, 
Sustainable Women Empowerment 
initiatives etc."
