"No.","HS code"
"77","200897"
"78","20089910"
"79","20089990"
"80","20091110"
"81","20091190"
"82","200912"
"83","200949"
"84","200969"
"85","200971"
"86","200979"
"87","200981"
"88","20098990"
"89","200990"
"90","220210"
"91","220291"
"92","22029910"
"93","22029930"
"94","22029940"
"95","22029951"
"96","22029959"
"97","22029961"
"98","22029969"
"99","22029970"
"100","22029991"
"101","22029999"
"102","22030010"
"103","22030020"
"104","22030090"
"105","220410"
"106","220421"
"107","220510"
"108","220710"
"109","220820"
"110","220830"
"111","22084010"
"112","220850"
"113","220860"
"114","220870"
"115","22089010"
"116","240210"
"117","24022020"
"118","24022050"
"119","24022060"
"120","24031920"
