"Instrument
2021
2022","","","","","","","","","",""
"","","","Issuances
Rs. billion","WAYR 
(%)","ATM (Years)","No. of 
Auctions","Issuances
Rs. billion","WAYR 
(%)","ATM (Years)","No. of 
Auctions"
"Treasury bills (a)","","","3,821.4","6.09","0.48","53","9,942.8","25.21","0.33","52"
"Treasury bonds","","","1,762.0","8.70","5.12","22","2,373.0","21.24","5.15","24"
"","","","","","","","","","",""
"","","","Issuances
USD million","","ATM (Years)","No. of Auctions","Issuances
USD million","","ATM (Years)","No. of 
Auctions"
"","","","","WAYR 
(%) (b)","","","","WAYR 
(%)","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","Sri Lanka Development","","1,041.3","7.34","1.47","5","622.3","","0.53","2"
"","","","","","","","","7.76
[3.40]","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","Bonds","","","","","","","","",""
"","","","","","","","","","",""
"WAYR: Weighted Average Yield Rate/ Cost; ATM: Average Time to Maturity
(a) Gross Treasury bill issuance including Treasury bills issued to the Central Bank. 
(b) Values in [ ] indicate the WAYR of Spreads above the 6-month LIBOR for Floating Rate SLDBs. No floating rate SLDBs were issued in 2021.
(c) SLDB issuances are based on investor confirmations up to 30.12.2022 and include maturity extensions under the alternative settlement mechanism.","","","","","","","","","",""
